country;frequency_total;strength_total;freq_norm;strength_norm;global_score;global_rank;year;sector_importance;Sector
ARE;87476;900,489367976613;0,11337476427779902;0,11494116555912688;0,11431460504659574;14;2022;16,6943;Crudo y Gas Natural
SAU;18017;102,24311742210968;0,02335124066021657;0,013050618369101246;0,017170867285547377;52;2022;17,6148;Crudo y Gas Natural
OMN;10066;74,397149991269;0,013046211271895434;0,009496275512378659;0,010916249816185369;72;2022;4,802;Crudo y Gas Natural
IRN;6466;46,80029575490091;0,008380369767939188;0,0059737302114597265;0,006936386034051511;82;2022;2,8318;Crudo y Gas Natural
BHR;2988;20,58885554509147;0,003872648448283683;0,0026280233149213236;0,0031258733682662672;103;2022;1,7256;Crudo y Gas Natural
QAT;3235;15,241670279934219;0,004192777018138459;0,0019454925392179;0,002844406330786123;110;2022;9,5381;Crudo y Gas Natural
KWT;2902;13,427983506419087;0,0037611866790225063;0,0017139881160447264;0,0025328675412358385;114;2022;3,2644;Crudo y Gas Natural
IRQ;909;6,205764352741906;0,001178124979748952;0,0007921223872883757;0,0009465234242726061;140;2022;6,1794;Crudo y Gas Natural
ARE;87476;900,489367976613;0,11337476427779902;0,11494116555912688;0,11431460504659574;14;2022;5,5052;Química Básica
SAU;18017;102,24311742210968;0,02335124066021657;0,013050618369101246;0,017170867285547377;52;2022;12,8985;Química Básica
OMN;10066;74,397149991269;0,013046211271895434;0,009496275512378659;0,010916249816185369;72;2022;0,381;Química Básica
IRN;6466;46,80029575490091;0,008380369767939188;0,0059737302114597265;0,006936386034051511;82;2022;0,7247;Química Básica
BHR;2988;20,58885554509147;0,003872648448283683;0,0026280233149213236;0,0031258733682662672;103;2022;0,0;Química Básica
QAT;3235;15,241670279934219;0,004192777018138459;0,0019454925392179;0,002844406330786123;110;2022;0,4246;Química Básica
KWT;2902;13,427983506419087;0,0037611866790225063;0,0017139881160447264;0,0025328675412358385;114;2022;0,4152;Química Básica
IRQ;909;6,205764352741906;0,001178124979748952;0,0007921223872883757;0,0009465234242726061;140;2022;0,0;Química Básica
ARE;87476;900,489367976613;0,11337476427779902;0,11494116555912688;0,11431460504659574;14;2022;3,3599;Fertilizantes
SAU;18017;102,24311742210968;0,02335124066021657;0,013050618369101246;0,017170867285547377;52;2022;16,9138;Fertilizantes
OMN;10066;74,397149991269;0,013046211271895434;0,009496275512378659;0,010916249816185369;72;2022;7,9232;Fertilizantes
IRN;6466;46,80029575490091;0,008380369767939188;0,0059737302114597265;0,006936386034051511;82;2022;0,2389;Fertilizantes
BHR;2988;20,58885554509147;0,003872648448283683;0,0026280233149213236;0,0031258733682662672;103;2022;0,3139;Fertilizantes
QAT;3235;15,241670279934219;0,004192777018138459;0,0019454925392179;0,002844406330786123;110;2022;3,9428;Fertilizantes
KWT;2902;13,427983506419087;0,0037611866790225063;0,0017139881160447264;0,0025328675412358385;114;2022;0,0;Fertilizantes
IRQ;909;6,205764352741906;0,001178124979748952;0,0007921223872883757;0,0009465234242726061;140;2022;0,0;Fertilizantes
