País;Dependencia Total;Dependencia Directa;Dependencia Indirecta;Valor Comercial;Tiene Dependencia Indirecta Sin Comercio;Industrias Encontradas;Industrias Sin Datos;Sector
Canadá;0.4473060543250276;0.3811248080226467;0.06618124630238092;61352.91174316406;False;7;0;Vehículo Eléctrico y Automóvil
México;0.26237006683843833;0.23445659903223628;0.027913467806202057;43779.85565185547;False;7;0;Vehículo Eléctrico y Automóvil
Alemania;0.007995993248105964;0.004397405273978147;0.0035985879741278174;12343.654502868652;False;7;0;Vehículo Eléctrico y Automóvil
Francia;0.0013459753041125345;0.0005846246501618487;0.0007613506539506859;1252.4643325805664;False;7;0;Vehículo Eléctrico y Automóvil
Italia;0.0009467767419607755;0.00028639696422779777;0.0006603797777329777;778.548192024231;False;7;0;Vehículo Eléctrico y Automóvil
España;0.001550060978826733;0.0005908428643200186;0.0009592181145067143;1150.5474224090576;False;7;0;Vehículo Eléctrico y Automóvil
Reino Unido;0.007448479808899803;0.003948642128026823;0.00349983768087298;4429.395751953125;False;7;0;Vehículo Eléctrico y Automóvil
Canadá;0.08092129025499142;0.0641952426789293;0.01672604757606213;8750.982177734375;False;6;1;Semiconductores y Electrónica
México;0.05337100160161268;0.04313018188096005;0.010240819720652626;13306.847900390625;False;6;1;Semiconductores y Electrónica
Alemania;0.011054075262709712;0.005407042383010151;0.00564703287969956;9041.006927490234;False;6;1;Semiconductores y Electrónica
Francia;0.010903408595108091;0.004588381926304188;0.0063150266688039025;2779.741523742676;False;6;1;Semiconductores y Electrónica
Italia;0.0070176262491414045;0.0026129825855152893;0.004404643663626115;1233.8309173583984;False;6;1;Semiconductores y Electrónica
España;0.0043527261666055014;0.0012886620363640197;0.003064064130241482;789.540937423706;False;6;1;Semiconductores y Electrónica
Reino Unido;0.021088042912669063;0.01355062511690214;0.007537417795766923;5851.496490478516;False;6;1;Semiconductores y Electrónica
Canadá;0.4309309798595382;0.32598174390653256;0.10494923595300565;11913.82177734375;False;6;0;Defensa y Aeroespacial
México;0.20737735480335628;0.16077210093108887;0.04660525387226742;4669.693382978439;False;6;0;Defensa y Aeroespacial
Alemania;0.18645306283165863;0.10799819059865393;0.07845487223300472;15294.665315628052;False;6;0;Defensa y Aeroespacial
Francia;0.2274520628132113;0.12850654884181675;0.09894551397139455;11284.47658419609;False;6;0;Defensa y Aeroespacial
Italia;0.07351131838553254;0.03766867562475397;0.03584264276077858;1686.9208997488022;False;6;0;Defensa y Aeroespacial
España;0.13497620581371364;0.054208287994381675;0.08076791781933196;2477.048671245575;False;6;0;Defensa y Aeroespacial
Reino Unido;0.4324505357988333;0.3365512787466686;0.09589925705216466;19612.469022750854;False;6;0;Defensa y Aeroespacial
