industry;dependent_country;supplier_country;dependency_value;direct_dependency;indirect_dependency;trade_value;longitud_optima;industry_id;sectores;short_industry;direct_pct;indirect_pct
Games and toys;USA;CHN;0.983599415735417;0.8679273724555969;0.1156720432798201;17830.47265625;3;152;manufacturas;Games and toys;88.23992354719584;11.760076452804164
Bicycles and invalid carriages;USA;CHN;0.8649926914525228;0.4734187126159668;0.391573978836556;1163.6201171875;3;146;manufacturas;Bicycles and invalid carriages;54.73094943969842;45.26905056030158
Raw and refined sugar and sugar crops;USA;CHN;0.8620689655172414;0.8620689655172414;0.0;0.025;2;9;agricultura;Raw and refined sugar and suga...;100.0;0.0
Office accounting and computing machinery;USA;CHN;0.8233908984489358;0.4706129133701324;0.3527779850788033;54091.76171875;3;124;manufacturas;Office accounting and computin...;57.15546701532047;42.84453298467952
Made-up textile articles except apparel;USA;CHN;0.7848643702940613;0.5685339570045471;0.2163304132895142;11989.7578125;3;55;manufacturas;Made-up textile articles excep...;72.43722336274958;27.562776637250426
TV and radio receivers and associated goods;USA;CHN;0.7815824031921895;0.4702434837818146;0.3113389194103749;20510.224609375;3;133;manufacturas;TV and radio receivers and ass...;60.1655669141495;39.834433085850485
"TV/radio transmitters; line comm. apparatus";USA;CHN;0.7745708396439663;0.5381845831871033;0.236386256456863;62096.8515625;3;132;manufacturas;"TV/radio transmitters; line co...";69.48164785476321;30.518352145236786
Footwear;USA;CHN;0.7537932093727756;0.502156138420105;0.2516370709526706;14042.8046875;3;64;manufacturas;Footwear;66.61722766618506;33.382772333814934
Knitted and crocheted fabrics and articles;USA;CHN;0.753639897075157;0.3371490836143493;0.4164908134608076;6225.70849609375;3;59;manufacturas;Knitted and crocheted fabrics ...;44.73609809178229;55.2639019082177
"Luggage handbags etc.; saddlery & harness";USA;CHN;0.7514716251812711;0.4029754400253296;0.3484961851559415;4965.67626953125;3;63;manufacturas;"Luggage handbags etc.; saddler...";53.62483778787034;46.375162212129666
Wearing apparel except fur apparel;USA;CHN;0.6616368909782975;0.2908797562122345;0.370757134766063;21985.68359375;3;60;manufacturas;Wearing apparel except fur app...;43.96365441203546;56.03634558796454
Publishing of books and other publications;USA;CHN;0.6452925967686375;0.549521267414093;0.0957713293545444;1300.0396728515625;3;73;manufacturas;Publishing of books and other ...;85.1584645734155;14.841535426584498
Pottery china and earthenware;USA;CHN;0.593262472632647;0.4380894303321838;0.155173042300463;2358.65185546875;3;95;manufacturas;Pottery china and earthenware;73.84411631299194;26.15588368700803
Cutlery hand tools and general hardware;USA;CHN;0.5649174214577928;0.3662482798099518;0.1986691416478409;7979.7705078125;3;107;manufacturas;Cutlery hand tools and general...;64.83218004940137;35.16781995059862
Optical instruments & photographic equipment;USA;CHN;0.5646108803339697;0.3054401576519012;0.2591707226820684;3793.357666015625;3;136;manufacturas;Optical instruments & photogra...;54.097462215257366;45.902537784742634
Other publishing;USA;CHN;0.5448222441264048;0.4791655242443084;0.0656567198820963;976.168701171875;3;76;manufacturas;Other publishing;87.94896489819838;12.05103510180161
"Dressing & dyeing of fur; processing of fur";USA;CHN;0.5241989103656056;0.2342415153980255;0.2899573949675801;39.7381591796875;3;61;manufacturas;"Dressing & dyeing of fur; proc...";44.685616617297505;55.314383382702495
Machine tools;USA;CHN;0.4787377836929084;0.2999872267246246;0.1787505569682838;5460.35400390625;3;116;manufacturas;Machine tools;62.6621162864084;37.337883713591594
Domestic appliances n.e.c.;USA;CHN;0.4757800123969142;0.3222526907920837;0.1535273216048304;15618.357421875;3;123;manufacturas;Domestic appliances n.e.c.;67.73144781106272;32.26855218893726
Machinery for textile apparel and leather;USA;CHN;0.4669857893143204;0.1241222620010376;0.3428635273132828;446.52154541015625;3;120;manufacturas;Machinery for textile apparel ...;26.579451632412088;73.42054836758791
Other electrical equipment n.e.c.;USA;CHN;0.4559961340685583;0.2101605981588363;0.2458355359097219;8688.82421875;3;130;manufacturas;Other electrical equipment n.e...;46.088241205842984;53.911758794156995
Motorcycles;USA;CHN;0.4384449053088817;0.244231715798378;0.1942131895105037;743.235107421875;3;145;manufacturas;Motorcycles;55.704083418717865;44.29591658128214
Man-made fibres;USA;CHN;0.4287939870299835;0.1612346619367599;0.2675593250932236;370.2839050292969;3;90;manufacturas;Man-made fibres;37.601894339410485;62.39810566058952
Accumulators primary cells and batteries;USA;CHN;0.4278824826383299;0.1935122460126876;0.2343702366256422;2684.37353515625;3;128;manufacturas;Accumulators primary cells and...;45.22555932168294;54.774440678317035
Lighting equipment and electric lamps;USA;CHN;0.4213229744196549;0.3085538446903229;0.112769129729332;7317.21923828125;3;129;manufacturas;Lighting equipment and electri...;73.23451684906;26.765483150940007
Electricity distribution & control apparatus;USA;CHN;0.4082736011440703;0.1823157966136932;0.225957804530377;4925.34619140625;3;126;manufacturas;Electricity distribution & con...;44.65529882480895;55.34470117519103
Insulated wire and cable;USA;CHN;0.4041638995944883;0.2319390922784805;0.1722248073160077;3212.8896484375;3;127;manufacturas;Insulated wire and cable;57.38738479888804;42.612615201111936
Sports goods;USA;CHN;0.4038081568501936;0.3070732355117798;0.0967349213384138;5041.01123046875;3;151;manufacturas;Sports goods;76.04433697105803;23.955663028941963
Bearings gears gearing & driving elements;USA;CHN;0.3737528421920923;0.1937100738286972;0.1800427683633951;2526.6376953125;3;111;manufacturas;Bearings gears gearing & drivi...;51.82838816490896;48.17161183509105
Musical instruments;USA;CHN;0.3461158395415702;0.2210945039987564;0.1250213355428138;632.48583984375;3;150;manufacturas;Musical instruments;63.878759288102984;36.12124071189701
