industry;dependency_value;trade_value;supplier_country;supplier_name
Live Swine;1.0;575.7080078125;CAN;Canadá
Mining of lignite;0.9911783337593081;8.276766777038574;CAN;Canadá
Electricity production, collection, and distribution;0.9696420431137083;4244.47412109375;CAN;Canadá
Sawmilling and planing of wood;0.6578116268082543;9673.6650390625;CAN;Canadá
Live Cattle;0.6452826261520386;1158.01904296875;CAN;Canadá
Extraction crude petroleum and natural gas;0.6217164367108178;136955.28125;CAN;Canadá
Other cereals;0.6179868358438778;662.4349975585938;CAN;Canadá
Bakery products;0.5357032455359692;4522.337890625;CAN;Canadá
Builders' carpentry and joinery;0.5208056298451568;1915.029052734375;CAN;Canadá
Fertilizers and nitrogen compounds;0.4768321345275949;7164.04833984375;CAN;Canadá
Pulp paper and paperboard;0.47138827919574067;7497.35400390625;CAN;Canadá
Veneer sheets plywood particle board etc.;0.4392596591876094;4820.8310546875;CAN;Canadá
Processing/preserving of meat;0.434795572873172;1169.2501220703125;CAN;Canadá
Vegetable and animal oils and fats;0.41644802488248384;5631.29443359375;CAN;Canadá
Grain mill products;0.4017880473851696;1599.53369140625;CAN;Canadá
Processing of nuclear fuel;0.372984822401735;720.0272827148438;CAN;Canadá
Cereal products;0.372108906507492;15.831000328063965;CAN;Canadá
Railway/tramway locomotives & rolling stock;0.3451780974864959;502.2632141113281;CAN;Canadá
Mining of hard coal;0.3444866805081444;263.2204895019531;CAN;Canadá
Mining of iron ores;0.3402403741867105;350.4931640625;CAN;Canadá
