dependent_country;sector;dependency_value;direct_dependency;indirect_dependency
Canadá;servicios;0.529171981923537;0.48050227782434796;0.04866970409918898
Canadá;manufacturas;0.3204336360337983;0.28212532069353147;0.038308315340266755
Canadá;agricultura;0.10860614930748184;0.08607397944922508;0.022532169858256765
Canadá;minería y energía;0.5081425212609528;0.4881381916273415;0.02000432963361129
México;servicios;0.5987033161906992;0.5607805504804755;0.03792276571022343
México;manufacturas;0.2980264718680891;0.27267340806435564;0.025353063803733474
México;agricultura;0.23556893188984437;0.23090622230895158;0.004662709580892788
México;minería y energía;0.9400748436583003;0.938360444277247;0.0017143993810533335
Alemania;servicios;0.027813044321253092;0.011148765175132932;0.01666427914612016
Alemania;manufacturas;0.019059059062143866;0.009620368864216388;0.00943869019792748
Alemania;agricultura;0.02225649194464069;0.01547933000847936;0.006777161936161325
Alemania;minería y energía;0.023826428773621615;0.014214074866221301;0.009612353907400312
Francia;servicios;0.030774640619958406;0.011846110952206099;0.018928529667752304
Francia;manufacturas;0.0185881679407343;0.009207727721689703;0.009380440219044592
Francia;agricultura;0.003825231671341207;0.001249349568054124;0.0025758821032870827
Francia;minería y energía;0.07248768183248987;0.06012618450044152;0.012361497332048327
Italia;servicios;0.022798324787089472;0.007582885261370932;0.015215439525718534
Italia;manufacturas;0.007282384986911064;0.00282763551983304;0.004454749467078021
Italia;agricultura;0.012333554408648044;0.006716210520909365;0.005617343887738681
Italia;minería y energía;0.007851945547168816;0.0048274500438194356;0.0030244955033493733
España;servicios;0.035801703450768316;0.01625378040524418;0.01954792304552412
España;manufacturas;0.016614678807715007;0.008459776926382383;0.00815490188133262
España;agricultura;0.03398458257538808;0.02817577974530431;0.005808802830083753
España;minería y energía;0.06164336760977504;0.03912546459901451;0.022517903010760513
Reino Unido;servicios;0.07451302173308991;0.04021840922015474;0.03429461251293517
Reino Unido;manufacturas;0.04577890348439148;0.030804079715077037;0.014974823769314449
Reino Unido;agricultura;0.006828641699739148;0.004646638691134393;0.002182003008604754
Reino Unido;minería y energía;0.14712473953194627;0.0666234342058217;0.08050130532612454
