industry;dependency_value;trade_value;supplier_country;supplier_name
Live Swine;1.0;313.7439880371094;CAN;Canadá
Mining of lignite;0.9406722187995912;8.351749420166016;CAN;Canadá
Electricity production, collection, and distribution;0.9381786584854126;1979.233154296875;CAN;Canadá
Fishing;0.5985928997855572;650.05615234375;CAN;Canadá
Live Cattle;0.5646312755875393;978.3779907226562;CAN;Canadá
Eggs;0.48512022974114555;33.263999938964844;CAN;Canadá
Pulses and legumes, dried, preserved;0.4205550852355366;182.5590057373047;CAN;Canadá
Cereal products;0.3939295411109924;8.48799991607666;CAN;Canadá
Processing of nuclear fuel;0.3668795424585663;628.7975463867188;CAN;Canadá
Forestry;0.3244777585261509;162.03677368164062;CAN;Canadá
Coke oven products;0.2718887031078338;17.769380569458008;CAN;Canadá
Mining of iron ores;0.26395317458114;218.39059448242188;CAN;Canadá
Tanks reservoirs and containers of metal;0.2630949307814911;302.1229858398437;CAN;Canadá
Mining of hard coal;0.2555291832042439;145.3931427001953;CAN;Canadá
Animal feed ingredients and pet foods;0.2466330653945116;101.53500366210938;CAN;Canadá
Other meats, livestock products, and live animals;0.2354357078646063;268.0950012207031;CAN;Canadá
Refined petroleum products;0.2347325744813614;14565.3203125;CAN;Canadá
Steam generators;0.2183552856161961;64.16206359863281;CAN;Canadá
Publishing of newspapers journals etc.;0.2165220379829406;19.548025131225582;CAN;Canadá
Other non-metallic mineral products n.e.c.;0.2055263608038299;689.384033203125;CAN;Canadá
Live Cattle;0.474484771490097;883.3720092773438;MEX;México
Other electrical equipment n.e.c.;0.40418425343055;15697.8701171875;MEX;México
Electricity distribution & control apparatus;0.3893699468757516;9811.212890625;MEX;México
TV and radio receivers and associated goods;0.3191452938468678;13255.94921875;MEX;México
Building/repairing of pleasure/sport. boats;0.2901631931176269;460.6212768554688;MEX;México
Insulated wire and cable;0.2668690819844018;3479.24755859375;MEX;México
Office accounting and computing machinery;0.2557056530584383;28530.603515625;MEX;México
Machinery for textile apparel and leather;0.1992364525794983;716.7398071289062;MEX;México
Fresh fruit;0.19559194603982963;6086.22119140625;MEX;México
Building and repairing of ships;0.1899300664663314;68.02760314941406;MEX;México
Fresh vegetables;0.1889161854120153;6537.26416015625;MEX;México
Motor vehicles;0.1816260987037761;78605.0859375;MEX;México
Pumps compressors taps and valves;0.1570684756557935;7361.50048828125;MEX;México
Steam generators;0.1558860801435266;42.26677703857422;MEX;México
Other publishing;0.1518574673188442;294.3249206542969;MEX;México
Other non-metallic mineral products n.e.c.;0.1412846736944136;461.2588195800781;MEX;México
Pottery china and earthenware;0.1402731986704368;753.3279418945312;MEX;México
Domestic appliances n.e.c.;0.1388601048917857;6689.17431640625;MEX;México
Refractory ceramic products;0.1354829511597195;87.5288314819336;MEX;México
"Struct.non-refractory clay; ceramic products";0.1309938883592306;265.84527587890625;MEX;México
