País;Dependencia Total;Dependencia Directa;Dependencia Indirecta;Valor Comercial;Tiene Dependencia Indirecta Sin Comercio;Industrias Encontradas;Industrias Sin Datos;Sector
Canadá;0.32763741928808127;0.2893794973713185;0.03825792191676276;57646.02813720703;False;7;0;Vehículo Eléctrico y Automóvil
México;0.14817258666295285;0.13526453432349175;0.012908052339461087;40571.12420654297;False;7;0;Vehículo Eléctrico y Automóvil
Alemania;0.0013152403225606185;0.0007042552559603574;0.0006109850666002612;10328.835639953613;False;7;0;Vehículo Eléctrico y Automóvil
Francia;0.00104121618290685;0.0005197115090675011;0.0005215046738393489;2343.6389350891113;False;7;0;Vehículo Eléctrico y Automóvil
Italia;0.00032832653047107634;0.00013669091775286532;0.000191635612718211;757.0957851409912;False;7;0;Vehículo Eléctrico y Automóvil
España;0.0005174954955730767;0.0001747145839745827;0.00034278091159849406;966.2353897094727;False;7;0;Vehículo Eléctrico y Automóvil
Reino Unido;0.005714005360988094;0.0037466205500738007;0.001967384810914293;3279.8660163879395;False;7;0;Vehículo Eléctrico y Automóvil
Canadá;0.18020658666572537;0.1605023675361561;0.019704219129569274;16251.756774902344;False;7;0;Semiconductores y Electrónica
México;0.04069396949090107;0.03308596033202211;0.007608009158878967;14888.934204101562;False;7;0;Semiconductores y Electrónica
Alemania;0.0039943069117461235;0.002096936989263208;0.0018973699224829152;12893.200012207031;False;7;0;Semiconductores y Electrónica
Francia;0.0024772579765760193;0.001346945131994566;0.0011303128445814532;5928.996170043945;False;7;0;Semiconductores y Electrónica
Italia;0.001219006030297324;0.0004896710643339935;0.0007293349659633304;2285.678642272949;False;7;0;Semiconductores y Electrónica
España;0.0008316133192555974;0.00027549070695971357;0.0005561226122958837;1658.2033100128174;False;7;0;Semiconductores y Electrónica
Reino Unido;0.02919548849977933;0.022725872939243514;0.006469615560535818;14598.397018432617;False;7;0;Semiconductores y Electrónica
Canadá;0.35455565721393545;0.27373523318172155;0.08082042403221391;12069.719139099121;False;6;0;Defensa y Aeroespacial
México;0.24368233761671793;0.2012336035965983;0.04244873402011963;5257.52730846405;False;6;0;Defensa y Aeroespacial
Alemania;0.11904384229893046;0.07946011000347913;0.03958373229545133;17506.355192661285;False;6;0;Defensa y Aeroespacial
Francia;0.042732124453930556;0.022945025176842472;0.019787099277088088;13070.117348909378;False;6;0;Defensa y Aeroespacial
Italia;0.0159728472795315;0.008492407295026998;0.007480439984504501;2260.0622692108154;False;6;0;Defensa y Aeroespacial
España;0.033960402521016425;0.0197712655100103;0.014189137011006124;2241.151496887207;False;5;1;Defensa y Aeroespacial
Reino Unido;0.28391440161401027;0.2053288766932425;0.07858552492076779;16359.521576404572;False;6;0;Defensa y Aeroespacial
