industry;dependency_value;trade_value;supplier_country;supplier_name
Malt liquors and malt;0.7677673365641734;5512.8662109375;MEX;México
Automobile bodies trailers & semi-trailers;0.4804022076659044;3831.3876953125;MEX;México
Parts/accessories for automobiles;0.4133979320484254;34892.40234375;MEX;México
Distilling rectifying & blending of spirits;0.4121047893426372;5131.802734375;MEX;México
Motor vehicles;0.4051979283351373;80325.1953125;MEX;México
Other electrical equipment n.e.c.;0.4038414191234922;17965.4375;MEX;México
Electricity distribution & control apparatus;0.3888665089874858;12233.8251953125;MEX;México
Raw and refined sugar and sugar crops;0.3829887211322784;1.6299999952316284;MEX;México
Insulated wire and cable;0.3819242781118962;5895.404296875;MEX;México
Sugar;0.367349453944144;935.9661865234376;MEX;México
Live Cattle;0.3547173738479614;636.572998046875;MEX;México
Building/repairing of pleasure/sport. boats;0.3266758342172581;773.7264404296875;MEX;México
TV and radio receivers and associated goods;0.2986049326528361;15393.2548828125;MEX;México
165 Health services;0.29832391572682104;225.0;MEX;México
Other general purpose machinery;0.2800630742249918;13044.705078125;MEX;México
157 Travel;0.2771762263713483;22281.0;MEX;México
Medical surgical and orthopaedic equipment;0.2631966454983487;12347.2333984375;MEX;México
Bakery products;0.250909624668552;2148.02490234375;MEX;México
Office accounting and computing machinery;0.24759162789982;38661.19140625;MEX;México
Electric motors generators and transformers;0.23588240208129757;9132.0107421875;MEX;México
