dependent_country;sector;dependency_value;direct_dependency;indirect_dependency
Canadá;manufacturas;0.18456142139848764;0.16415274985769043;0.020408671540797244
Canadá;agricultura;0.16240477981323861;0.1340867901844713;0.028317989628767345
Canadá;servicios;0.5828728733147217;0.5573971148895143;0.025475758425207534
Canadá;minería y energía;0.5640492876914941;0.5465676782296032;0.01748160946189111
México;manufacturas;0.13341468886609434;0.12208925011019332;0.01132543875590099
México;agricultura;0.2268150556736295;0.21856597072782338;0.008249084945806152
México;servicios;0.022254850236691923;0.021117786597259672;0.0011370636394322506
México;minería y energía;0.7689508575851491;0.7505272001370303;0.018423657448118715
Alemania;manufacturas;0.009718152455454666;0.005563945948415488;0.004154206507039176
Alemania;agricultura;0.021133072537103125;0.0145616656019828;0.006571406935120317
Alemania;servicios;0.002563561955991302;0.0013676387857462693;0.0011959231702450323
Alemania;minería y energía;0.010188153736245443;0.005859796241101014;0.004328357495144424
Francia;manufacturas;0.008674872451736279;0.00444217986996387;0.004232692581772407
Francia;agricultura;0.00288175398445604;0.0014302651476350854;0.0014514888368209545
Francia;servicios;0.002311251723099912;0.0011296952604395046;0.0011815564626604061
Francia;minería y energía;0.010649881386613021;0.004822802928764534;0.005827078457848483
Italia;manufacturas;0.0035222919741004647;0.001646716419382678;0.0018755755547177858
Italia;agricultura;0.012213386857982254;0.007370976726744708;0.004842410131237544
Italia;servicios;0.0010460091426808783;0.00037173421718381805;0.0006742749254970598
Italia;minería y energía;0.004128243400480587;0.0027102751842220307;0.0014179682162585544
España;manufacturas;0.00529636521583474;0.0028492716951760686;0.0024470935206586703
España;agricultura;0.023540119912965306;0.020591716814428854;0.0029484030985364486
España;servicios;0.0011880815688478273;0.0004804963440849332;0.0007075852247628931
España;minería y energía;0.016378029495153976;0.004432692466445516;0.011945337028708458
Reino Unido;manufacturas;0.033850366472932034;0.022174747750008394;0.011675618722923638
Reino Unido;agricultura;0.0076940899417973635;0.004444599249243387;0.003249490692553973
Reino Unido;servicios;0.08080225274180963;0.0597858342807972;0.02101641846101241
Reino Unido;minería y energía;0.043526190140900305;0.03142024574170818;0.012105944399192128
