País;Industria;Nivel_Dependencia
Canadá;Health services;96.49%
Canadá;Coke oven products;97.73%
Canadá;Mining of iron ores;98.68%
Canadá;Live Cattle;100.00%
Canadá;Cereal products;100.00%
México;Extraction crude petroleum and natural gas;99.51%
México;Mining of lignite;99.63%
México;Live Cattle;100.00%
México;Gas production and distribution;100.00%
México;Cotton;100.00%
Alemania;Maintenance and repair services n.i.e;50.31%
Alemania;Aircraft and spacecraft;61.00%
Alemania;Government goods and services n.i.e;62.75%
Alemania;Charges for the use of intellectual property n.i.e;64.78%
Alemania;Soybeans;72.24%
Francia;Nuts;61.51%
Francia;Government goods and services n.i.e;61.45%
Francia;Mining of iron ores;62.08%
Francia;Maintenance and repair services n.i.e;60.46%
Francia;Charges for the use of intellectual property n.i.e;60.79%
Italia;Maintenance and repair services n.i.e;46.62%
Italia;Soybeans;47.24%
Italia;Pulses and legumes, dried, preserved;47.96%
Italia;Government goods and services n.i.e;56.25%
Italia;Charges for the use of intellectual property n.i.e;52.25%
España;Soybeans;46.24%
España;Maintenance and repair services n.i.e;48.86%
España;Nuts;50.19%
España;Charges for the use of intellectual property n.i.e;61.21%
España;Government goods and services n.i.e;63.02%
Reino Unido;Maintenance and repair services n.i.e;61.70%
Reino Unido;Government goods and services n.i.e;63.76%
Reino Unido;Charges for the use of intellectual property n.i.e;70.11%
Reino Unido;Education services;70.21%
Reino Unido;Aircraft and spacecraft;72.93%
