sector_source,A01,A02,A03,B05,B06,B07,B08,B09,C10T12,C13T15,C16,C17_18,C19,C20,C21,C22,C23,C24A,C24B,C25,C26,C27,C28,C29,C301,C302T309,C31T33,D,E,F,G,H49,H50,H51,H52,H53,I,J58T60,J61,J62_63,K,L,M,N,O,P,Q,R,S,T
A01,0.43763044139647395,0.10751159025057569,0.04862595561279141,0.001299054447013668,0.0009562586866789863,0.0006500794003351299,0.0034834796507145936,0.0012254597859684192,0.3719723800035741,0.0634886674469311,0.012134874191624812,0.0016015432050332742,0.00016260147080161954,0.013693178773322016,0.016569874789072542,0.012581418221267794,0.0006755788526610988,0.00019856360303921081,0.00023443366164075971,0.0003453936207721025,0.00031875751518114007,0.00034641643208356066,0.0008229374266669193,0.00035134871380862215,0.0004309005548345484,0.00032567456441217273,0.005019545493780303,0.0033133563824816995,0.0038981899560145876,0.007044249945145252,0.01594712516742628,0.002570489084255254,0.002020861053201798,0.0007812176827015136,0.002128950127432989,0.0007746190640236146,0.1015137536095446,0.0012916582790996579,0.0007046213852996098,0.000413748506257368,0.00046021258483745997,0.0014138938668823585,0.003161272117462264,0.00639025404186479,0.007817827664580277,0.01101361646666833,0.008592390016362635,0.013120903612504467,0.009846634979226613,0.0
A02,0.006003198180684887,0.48774930198476174,0.0014910137911514473,0.004473724689004743,0.000387872358133492,0.0005347260051438903,0.0008610506786178051,6.176426160709168e-05,0.002596827007824224,0.0010888387519044126,0.2600963754184281,0.015093778581068064,1.3769797183331545e-05,0.000737960671505614,0.00027364069497020136,0.006391205854987563,0.000696945565100173,8.197026134255783e-05,9.30938045496112e-05,5.008680634636482e-05,9.60168074327092e-06,3.215836799750865e-05,6.048445840273936e-05,2.6333199853045293e-05,0.00013354756621192048,2.8754490048634833e-05,0.010835068150675349,0.0035618638751655825,0.00010499574351569197,0.0014924925615216803,0.0010187442723504285,9.401601823341963e-05,6.747393315921389e-05,5.2816215921192496e-05,8.485565236000084e-05,5.329403748038834e-05,0.0012102531065076721,0.00012841450587238538,0.00011650474484533955,8.828445679533255e-05,2.5736116281417775e-05,0.00016675744649031785,6.792656800131653e-05,0.00018615455211597735,0.0007855293252521477,0.0004669186175606293,0.00016618670685916582,0.00104880859890893,0.0006141999776706882,0.0
A03,0.000544430003419859,0.0011178028523308487,0.4125252187956471,0.00020187574716718198,3.0064968547287262e-05,0.00022392004065838886,0.00027488736927990486,4.232627657706793e-05,0.03176864170561568,8.500870168230766e-05,3.1659609245886484e-05,3.0197680007173626e-05,1.9386865090016255e-05,0.00012000864996556763,0.00011412056085733064,4.420074947957422e-05,5.575023082579501e-05,9.3203231745994e-06,2.1120975026818708e-05,3.2881561483996924e-05,1.8311980992087294e-05,3.310890556348645e-05,3.2754487433451795e-05,9.408510498867385e-06,0.00010742469634804884,1.1066091179644922e-05,0.0006317509817603934,2.045341419494023e-05,7.072402747363583e-05,5.8377153558277646e-05,0.0007240862379049166,8.386210654598092e-05,0.0006007249910232298,7.87600217291358e-05,0.00010144137082943696,1.4304561777597574e-05,0.01820731076355757,0.00012004972573590523,6.898715944367005e-05,8.54569970094576e-05,7.032476537755152e-05,0.0001045119960367815,6.835444705541535e-05,5.511020028550965e-05,0.0011917056150524696,0.0005673073722158532,0.0005266948291343875,0.000401189187680289,0.00040582202756327373,0.0
B05,0.00039253602267784666,0.0003939210215058553,7.184747056771865e-05,0.16987236672385417,0.0044914236766896865,0.011271599782586784,0.011662885272817097,0.006467011051071679,0.0005384142553394942,0.0009551004129685931,0.000430106885716927,0.003866725873602509,0.01655513510554246,0.005859374909869709,0.00017381095906223581,0.001135347836875406,0.02783981342796187,0.05660536424296233,0.012067013683972266,0.00018417614137628148,0.00011467286099638434,0.0003802790681211129,0.00026234239891416655,0.00010650495188913595,0.0005008517813673537,0.000536583728986449,0.00017239461826092597,0.11165555431141702,0.0008474194848438655,0.0019460944306703388,0.00017641819325635137,0.0004169012338444907,2.800992477000098e-05,5.3860556692982466e-05,0.00022172715334722824,0.0001007520301056505,0.00016170321297077062,3.142426142641462e-05,6.753216656645788e-05,4.3817268856864856e-05,2.356101852798332e-05,0.00031910555330925017,6.651680576961391e-05,6.599169064974457e-05,0.0006094204671895524,0.0009146137808210186,0.00011335843633392489,6.966989415527725e-05,0.00044524497678426694,0.0
B06,0.001588142600628504,0.0011036805990926114,0.0017022040873862975,0.027155561962429794,0.17234369574931477,0.010765849554148605,0.02832266910367841,0.04230419914530192,0.00231543961504539,0.0010989518388931673,0.0017160712830187634,0.009774747757475333,0.5989630701128603,0.03789546660323496,0.0009092199448614011,0.003652267235339802,0.022957265726902033,0.014467326757716316,0.014132726824364948,0.0031674535696522193,0.00032648731184963697,0.0007796464176282926,0.0011078073818060427,0.001006777616789657,0.0015090738814723295,0.0013672662788643492,0.002113283527816192,0.21226583410905064,0.003676290246210359,0.001966630517988156,0.0034624488796019958,0.007867511697926793,0.004266355552179726,0.007884622731284355,0.004285945743012799,0.002396926268090485,0.0015652967966330502,0.0006802548451442276,0.0006149248822520786,0.0006071380781460928,0.0005703749637763371,0.001845511975240069,0.0015638378796906656,0.001847891807650674,0.004322373987475684,0.002892817347290731,0.0014221942612517827,0.0015672372919656409,0.0022813024409428814,0.0
B07,0.00021473196627558216,0.00010935720795781876,0.00018693094073249237,0.014861687104945174,0.007186638340338373,0.2898094155811632,0.05503291582848205,0.02257557146814355,0.0002742046643149538,0.00016162947895814725,0.00011865092516411007,0.0005111369641139432,0.008115536697365823,0.005320040987768778,0.0001884089723552063,0.0003398308927442607,0.02422530496432092,0.12629367383333331,0.22357761290421702,0.005260006508837666,0.0004830283012033289,0.0015311660864545658,0.0008787628485274633,0.00042106287568604406,0.0002595247344813675,0.00039903327062242077,0.0015934977097148233,0.003327985032493561,0.0005855072294179715,0.004549416849267045,0.00019258999614610474,0.0002788104325664065,3.501564399258797e-05,0.0001138892039760607,0.00023764132674880965,0.00016902895066501182,0.00017757271104257112,0.00010473380957970066,0.0001123995947910305,0.00012595513545699514,0.00014466626280487096,0.0002702975682354739,0.00025357986576201403,0.00022146721707787262,0.0002495326039488941,0.00019583840858645418,0.00010945100840674327,0.00016636622980450782,0.0003117287577259264,0.0
B08,0.0013285800944569412,0.000612636404003967,0.0011276934272849927,0.005869221660044772,0.0077467489108847655,0.011135458057568607,0.1644393531282391,0.018803377022761587,0.0007212657163095096,0.00027562123015636357,0.00022046234642982083,0.0012997835733187357,0.003249725896660449,0.007400379779642828,0.00038079771198620723,0.0010088164478584294,0.08937951024252723,0.00867095282627504,0.007141795524846079,0.0008107666838001507,0.00013754855449884097,0.0005014047202052736,0.0003250874821060113,0.00017462357918795226,0.00018534566139686068,0.0001485631741023133,0.001233023897575807,0.0026421707167865022,0.001781324570736816,0.02297050788588037,0.00020647346578131246,0.0003080456597184444,0.00026734278704335204,0.00020643859275297407,0.00021815799763549125,8.864755829006555e-05,0.00024945602841096846,6.541045863212726e-05,5.8803466791762395e-05,5.0336109729782715e-05,2.8535591127513367e-05,0.0011608463494724212,0.00013307931114867622,0.0008133364600167403,0.0009013694722140116,0.0002210353606455408,0.00014953489095110992,0.0001471244776745972,0.00030089816013099214,0.0
B09,0.00012197491681016515,0.000248640292605857,0.002955580216457989,0.027703974210713366,0.11861358694419993,0.0213500906889406,0.04682701693540308,0.41320636838536046,8.026436692273206e-05,2.239345839499652e-05,8.603287041309526e-05,0.00041696108613455623,0.010610993271382095,0.00013009284582442076,5.78823832003657e-05,0.0001935665430434935,0.0031844915036696566,0.0007503401056539024,0.0010319487139988967,0.00010670017661377705,2.299028460244882e-05,3.971662982300328e-05,7.071272920671764e-05,4.84508654525087e-05,5.3942624855112855e-05,0.00047805074660663203,7.825903406402735e-05,0.004027588347196076,0.0002442257225885607,0.0014498770061937081,0.0001143854393628804,0.0003839399266791416,0.00017013712383907135,0.0002833949038475421,0.0003873806181817495,0.0002552804312249375,7.074509247145683e-05,0.00012190768321926892,7.81034800723822e-05,7.057414872161749e-05,5.491532463029127e-05,0.0004943512187990185,0.00045475930100616054,9.924580423946154e-05,0.00030986320952628647,0.000167039216258519,9.145574664665182e-05,8.144679560088561e-05,8.469033322212196e-05,0.0
C10T12,0.1422744952143162,0.005400992222330809,0.12206431494290404,0.002797984564155718,0.0017416867191820918,0.0019613014441209227,0.004402601190706377,0.001322922262683668,0.18659636336481952,0.011643566943127851,0.002088014302966608,0.006426691990360313,0.0013469996247319766,0.0236798045908041,0.019843201997882053,0.004800485003649905,0.003482271005743128,0.0008437821464166242,0.0013053183250203893,0.0018436505520643318,0.0012599081355466708,0.0018249877600828785,0.0020564720067088615,0.0008324025053646372,0.0012319027909069027,0.001090512391436679,0.004557938118136932,0.0012752494970866772,0.0050965971576512545,0.002415010573504209,0.016447855782190598,0.003350703062432442,0.008680822183028836,0.002128674369992644,0.004457669572690805,0.0023784451942476174,0.2911188809179206,0.005177686919077403,0.0025056405381059335,0.004008641525954376,0.0025512541410685824,0.0027242828983752346,0.003676227046455578,0.003935643855278351,0.010802669640196126,0.027530566784531533,0.014756732324726855,0.024783473030985916,0.011786435768020794,0.0
C13T15,0.0019053837587862954,0.00365782404139421,0.024007626056482906,0.013275555999454798,0.00276185347235609,0.004913184758003901,0.005737177456253375,0.0022152402321193028,0.0012996215911055167,0.5622042273729344,0.004557739817933246,0.018883969846246716,0.0004840684571706123,0.0068488410442129255,0.0037458902330205187,0.021372762061029085,0.013251672932850336,0.0017880797425815595,0.0013693161299769044,0.00443025501829799,0.0029056805370689504,0.004827384899835727,0.0051958109978886575,0.011513261093493935,0.008571239529204794,0.005338300149074787,0.05324402191458299,0.0011360155395349477,0.00681594754070321,0.006812564048919673,0.0075307956620235894,0.002651749266987162,0.001200506406300329,0.001475774822851112,0.0024360850058440554,0.006457168908080617,0.006417706114563337,0.0016647678546133707,0.0013835419046799788,0.0014678173819280083,0.0008577451889008712,0.001251669855675155,0.0059043327942035475,0.006608943269416135,0.011788587950927132,0.0075732109225999,0.008788302635016761,0.013731661506309193,0.020662483388235564,0.0
