country;weighted_dependency;weighted_direct_dependency;weighted_indirect_dependency;total_trade_value;servicios_weighted_dependency;servicios_weighted_direct;servicios_weighted_indirect;manufacturas_weighted_dependency;manufacturas_weighted_direct;manufacturas_weighted_indirect;agricultura_weighted_dependency;agricultura_weighted_direct;agricultura_weighted_indirect;minería y energía_weighted_dependency;minería y energía_weighted_direct;minería y energía_weighted_indirect;country_name
CHN;0.02569609903273632;0.014243117307438376;0.01145298172529794;589169.649696;0.0003037365208945004;0.00012042114789636484;0.00018331537299813553;0.09467517320429905;0.052603590219141884;0.04207158298515715;0.004794146242414905;0.002335358623917344;0.0024587876184975583;0.0002272043978579591;0.00017565401772685007;5.155038013110902e-05;China
CAN;0.010543473104650286;0.010318832697828812;0.00022464040682147095;462003.65142799995;0.00029870429261764946;0.00027542972997523325;2.3274562642415966e-05;0.016329303496950196;0.01557666127565211;0.0007526422212980827;0.048501801271110895;0.04779785388310178;0.000703947388009112;0.2709840655431465;0.27074454186065006;0.0002395236824964055;Canadá
MEX;0.008563685604046063;0.007924981963887814;0.0006387036401582463;481186.71380800003;0.0006622782584872123;0.0006529616199945613;9.316638492650661e-06;0.028108317077795097;0.02585051314178796;0.0022578039360071295;0.08565598256139113;0.08156425223230998;0.004091730329081121;0.006645030293158635;0.006515437334087865;0.00012959295907076997;México
VNM;0.004367911947339818;0.0021376944181032715;0.002230217529236546;131808.718545;0.0;0.0;0.0;0.012154171958677107;0.005924456959213898;0.0062297149994632066;0.021290635580195456;0.01608305772255382;0.0052075778576416345;0.0;0.0;0.0;Vietnam
GBR;0.0037845576271269923;0.002725997853658671;0.00105855977346832;197401.362833;0.004836969549330686;0.003621338284056086;0.0012156312652745994;0.0013374407607562439;0.0006028878384890933;0.0007345529222671498;0.00048471448404720273;0.00017734182328393703;0.0003073726607632654;4.889604377337132e-05;4.40374105853555e-05;4.8586331880152534e-06;Reino Unido
DEU;0.0030244709164123544;0.0011872977342907362;0.0018371731821216176;201160.142294;0.0010543847333936535;0.0005243343377810605;0.0005300503956125929;0.008413886445491452;0.0030048954337135183;0.005408991011777932;0.0110764565154188;0.0070482091261250815;0.004028247389293716;1.5358061031124008e-06;3.803463301284728e-07;1.155459772983928e-06;Alemania
JPN;0.0029522038242520586;0.0016932252796841869;0.0012589785445678708;196794.73196900001;0.0008195230121422917;0.0006238918309612649;0.00019563118118102657;0.008543459279046;0.004501557421786918;0.004041901857259079;0.00017611174166886487;0.00011824109412482163;5.787064754404324e-05;4.051769389486833e-06;3.739597142930832e-06;3.1217224655600054e-07;Japón
IRL;0.0022222025831158134;0.001434550045986105;0.0007876525371297082;108815.090369;0.0007198065151520299;0.0003015672074019763;0.0004182393077500535;0.0069808735189084235;0.005015989341712667;0.0019648841771957547;0.0017479431437800157;0.0011026900301654493;0.0006452531136145646;4.686302931316823e-06;4.686302931316823e-06;0.0;Irlanda
TWN;0.0018288904259998835;0.0007574786533944547;0.0010714117726054284;105636.857914;0.00011115292019268951;0.0001009587175821045;1.0194202610585023e-05;0.006034211984484699;0.002366057045030728;0.0036681549394539715;0.0003092146628107728;0.0002457241292606707;6.349053355009999e-05;1.8762836592607382e-07;1.235819606522463e-07;6.404640527382655e-08;Taiwán
KOR;0.0014204141847471209;0.000750284862809055;0.0006701293219380654;147089.12469;0.00018772577375125127;0.00013064546998428012;5.708030376697112e-05;0.004633984554597026;0.002366469953821437;0.002267514600775588;0.0001330621756374565;7.808590573508042e-05;5.497626990237606e-05;0.0;0.0;0.0;Corea del Sur
IND;0.001267368466474391;0.0007928703343979203;0.0004744981320764709;118099.633142;0.0003290353462360101;0.00023021157888137485;9.882376735463521e-05;0.0037603578012285963;0.0022859488426144486;0.0014744089586141464;0.019554096178550792;0.012270095004522018;0.007284001174028772;9.214401521365567e-05;7.149898775743696e-05;2.0645027456218698e-05;India
CHE;0.0011663588449211807;0.0007400512897250853;0.00042630755519609495;76839.309899;0.0003505889531588457;0.00020920138271738998;0.0001413875704414557;0.0036662775120583076;0.0023663408916339214;0.0012999366204243861;0.0;0.0;0.0;0.0;0.0;0.0;Suiza
FRA;0.0010953441962261356;0.0005744936978995063;0.0005208504983266291;91915.241461;0.0005256931736602597;0.0002513220237036612;0.0002743711499565985;0.002673366182304845;0.0014653591485131597;0.001208007033791685;0.0013972039289909498;0.0007784348867546033;0.0006187690422363463;3.6002834870666345e-05;2.605099878237631e-05;9.951836088290019e-06;Francia
ITA;0.0008230450222317686;0.00033308505975996217;0.0004899599624718061;78481.973183;8.752638700127528e-05;3.3985581094984835e-05;5.354080590629037e-05;0.002765643095114967;0.001122646175797725;0.0016429969193172413;0.000316903225394801;0.00017922363304884674;0.00013767959234595336;4.223012600755831e-06;3.1246605112165198e-06;1.0983520895392643e-06;Italia
SGP;0.0008021838121342313;0.0005110241783132614;0.0002911596338209696;68812.398827;0.0007733103383104549;0.0004752656520724536;0.00029804468623800085;0.0009111452824227291;0.0006328402119715665;0.000278305070451162;0.0;0.0;0.0;0.0;0.0;0.0;Singapur
THA;0.0007389374135715746;0.00035203152955077556;0.0003869058840207988;62584.014136;1.2254357743162915e-06;9.619880230812217e-07;2.6344775123507e-07;0.002076561763819196;0.0009704284215959273;0.001106133342223268;0.0075678130529242505;0.005423237223384016;0.0021445758295402313;1.3167751796933055e-06;1.1811345040917705e-06;1.3564067560152776e-07;Tailandia
MYS;0.000728580466006065;0.00047285303466377773;0.0002557274313422871;60987.8226;5.898955921186293e-06;3.442308871096326e-06;2.4566470500899444e-06;0.0027126715765936355;0.001761815469871725;0.0009508561067219103;0.00018608820918165285;4.328804746483977e-05;0.00014280016171681241;0.0;0.0;0.0;Malasia
NLD;0.0004529705670937776;0.00016636851472274714;0.0002866020523710302;54085.527112;0.00039178675188104774;0.00014102318253859128;0.00025076356934245625;0.0006081269359500502;0.0002316493742055518;0.0003764775617444978;0.0019873995321265337;0.0006512014436142869;0.001336198088512246;9.906398967821726e-06;5.001179227699442e-06;4.9052197401222236e-06;Países Bajos
BRA;0.0003035812413282664;0.00019806623570967137;0.00010551500561859483;40553.401069;4.940735790045999e-06;4.325633579699363e-06;6.15102210346626e-07;0.0007219826117071798;0.0004987698892216939;0.00022321272248548559;0.03427430038155673;0.017597594276948864;0.016676706104607864;0.0014262449416347412;0.0011257730039638744;0.0003004719376708671;Brasil
BEL;0.0002540624285320448;0.00010444637275640347;0.00014961605577564125;37698.93647;0.00011001131828562037;5.559027990170212e-05;5.442103838391825e-05;0.0006628198585441679;0.00024330916709534427;0.00041951069144882333;0.0008139557990309498;0.0003360808722944328;0.0004778749267365164;5.132546225192185e-06;3.2555872693821365e-06;1.8769589558100484e-06;BEL
