industry;dependent_country;supplier_country;dependency_value;direct_dependency;indirect_dependency;trade_value;longitud_optima;industry_id;sectores;short_industry;direct_pct;indirect_pct
Games and toys;USA;CHN;0.9846492477513912;0.8481418807367554;0.1365073670146356;30130.357;3;152;manufacturas;Games and toys;86.1364473363106;13.863552663689397
Other manufacturing n.e.c.;USA;CHN;0.9146886935607788;0.741772716213616;0.1729159773471629;15196.421;3;153;manufacturas;Other manufacturing n.e.c.;81.09564723337503;18.904352766624974
Sports goods;USA;CHN;0.8987458956567846;0.6122778391566663;0.2864680565001182;7079.8354;3;151;manufacturas;Sports goods;68.12580086490703;31.874199135092944
Made-up textile articles except apparel;USA;CHN;0.8879770457760201;0.5893863184345568;0.2985907273414633;13853.025;3;55;manufacturas;Made-up textile articles excep...;66.37404888315336;33.62595111684662
Lighting equipment and electric lamps;USA;CHN;0.8639964411706489;0.5109697531971772;0.3530266879734717;6927.4604;3;129;manufacturas;Lighting equipment and electri...;59.14026133080507;40.85973866919493
"TV/radio transmitters; line comm. apparatus";USA;CHN;0.8567688622084393;0.5168330342554974;0.3399358279529419;66043.63;3;132;manufacturas;"TV/radio transmitters; line co...";60.32350813068642;39.67649186931359
Other transport equipment n.e.c.;USA;CHN;0.851389707116134;0.6374933552565772;0.2138963518595567;643.9455;3;147;manufacturas;Other transport equipment n.e....;74.87679847762358;25.123201522376416
Accumulators primary cells and batteries;USA;CHN;0.8429274565731962;0.47085523081234;0.3720722257608562;11320.043;3;128;manufacturas;Accumulators primary cells and...;55.859519955197115;44.140480044802885
Domestic appliances n.e.c.;USA;CHN;0.839524615454106;0.4969355865775647;0.3425890288765412;20225.0;3;123;manufacturas;Domestic appliances n.e.c.;59.19249744794774;40.80750255205226
Bicycles and invalid carriages;USA;CHN;0.8288616083597913;0.3882149380100466;0.4406466703497447;1583.1992;3;146;manufacturas;Bicycles and invalid carriages;46.83712384486876;53.16287615513124
"Other wood products; articles of cork/straw";USA;CHN;0.8260866711125131;0.4902601591280476;0.3358265119844654;2511.4915;3;69;manufacturas;"Other wood products; articles ...";59.34730292498257;40.65269707501742
Office accounting and computing machinery;USA;CHN;0.8029544821282353;0.4030704870535538;0.3998839950746815;64483.445;3;124;manufacturas;Office accounting and computin...;50.19842295234634;49.80157704765366
TV and radio receivers and associated goods;USA;CHN;0.7971688432384461;0.3763224067200173;0.4208464365184287;20606.945;3;133;manufacturas;TV and radio receivers and ass...;47.207365153815125;52.79263484618486
Pottery china and earthenware;USA;CHN;0.7835822591403333;0.5439429328081082;0.239639326332225;3293.0127;3;95;manufacturas;Pottery china and earthenware;69.41746402028896;30.58253597971104
Footwear;USA;CHN;0.7783141033548452;0.4021846320835668;0.3761294712712784;14779.538;3;64;manufacturas;Footwear;51.67382042159973;48.32617957840027
Furniture;USA;CHN;0.7615631787201665;0.3175500141936034;0.4440131645265631;20708.146;3;148;manufacturas;Furniture;41.69713335238414;58.30286664761585
Knitted and crocheted fabrics and articles;USA;CHN;0.693384763616353;0.249527048762552;0.443857714853801;5333.65;3;59;manufacturas;Knitted and crocheted fabrics ...;35.98680874686977;64.01319125313022
"Luggage handbags etc.; saddlery & harness";USA;CHN;0.687826691788135;0.2837733434090388;0.4040533483790962;4384.883;3;63;manufacturas;"Luggage handbags etc.; saddler...";41.256518073079796;58.7434819269202
Wearing apparel except fur apparel;USA;CHN;0.680957173587013;0.2384387731717502;0.4425184004152628;20142.848;3;60;manufacturas;Wearing apparel except fur app...;35.0152377301129;64.9847622698871
Cutlery hand tools and general hardware;USA;CHN;0.6740295881102747;0.3659526475847171;0.3080769405255576;8958.344;3;107;manufacturas;Cutlery hand tools and general...;54.29326160750756;45.70673839249245
Musical instruments;USA;CHN;0.6691557718638901;0.3954294458811171;0.273726325982773;756.05725;3;150;manufacturas;Musical instruments;59.09378092632661;40.90621907367339
Electric motors generators and transformers;USA;CHN;0.6616226739153784;0.2191455324645126;0.4424771414508658;8730.467;3;125;manufacturas;Electric motors generators and...;33.12243384399812;66.87756615600188
Other fabricated metal products n.e.c.;USA;CHN;0.6566814615973038;0.3835014599835334;0.2731800016137702;14925.034;3;108;manufacturas;Other fabricated metal product...;58.39992179019479;41.60007820980519
Cordage rope twine and netting;USA;CHN;0.6335645931837488;0.3343278515401077;0.299236741643641;232.7421;3;57;manufacturas;Cordage rope twine and netting;52.76933956489969;47.2306604351003
Plastic products;USA;CHN;0.6289750347502086;0.4165402821674279;0.2124347525827806;25209.424;3;93;manufacturas;Plastic products;66.22524888175457;33.77475111824542
Publishing of books and other publications;USA;CHN;0.6229239191407632;0.4946663922542932;0.1282575268864698;1493.4658;3;73;manufacturas;Publishing of books and other ...;79.41040262775856;20.589597372241414
Glass and glass products;USA;CHN;0.6026317983278957;0.361022271831447;0.2416095264964487;3613.1973;3;94;manufacturas;Glass and glass products;59.907604084810096;40.092395915189904
"Textile fibre preparation; textile weaving";USA;CHN;0.600293017500027;0.1594141826744503;0.4408788348255766;582.8381;3;54;manufacturas;"Textile fibre preparation; tex...";26.55606146117519;73.44393853882481
Printing;USA;CHN;0.5836774873564656;0.3487672943042059;0.2349101930522597;749.1784;3;77;manufacturas;Printing;59.75342579749105;40.246574202508945
Insulated wire and cable;USA;CHN;0.58297195095187;0.2333499929729852;0.3496219579788848;3822.269;3;127;manufacturas;Insulated wire and cable;40.02765357612385;59.97234642387615
