,ABW,AFG,AGO,AIA,ALB,AND,ARE,ARG,ARM,ASM,ATA,ATF,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BES,BFA,BGD,BGR,BHR,BHS,BIH,BLM,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CCK,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CUW,CXR,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESH,ESP,EST,ETH,FIN,FJI,FLK,FRA,FRE,FRO,FSM,GAB,GAZ,GBR,GEO,GHA,GIB,GIN,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUM,GUY,HKG,HMD,HND,HRV,HTI,HUN,IDN,IND,IOT,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAC,MAR,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MNP,MOZ,MRT,MSR,MUS,MWI,MYS,NAM,NCL,NER,NFK,NGA,NIC,NIU,NLD,NOR,NPL,NRU,NZL,OMN,PAK,PAN,PCN,PER,PHL,PLW,PNG,POL,PRK,PRT,PRY,PSE,PYF,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SGS,SHN,SLB,SLE,SLV,SMR,SOM,SPM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SXM,SYC,SYR,TCA,TCD,TGO,THA,TJK,TKL,TKM,TLS,TON,TTO,TUN,TUR,TUV,TWN,TZA,UGA,UKR,UMI,URY,USA,UZB,VAT,VCT,VEN,VGB,VNM,VUT,WLF,WSM,YEM,ZAF,ZMB,ZWE
Accumulators primary cells and batteries,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Agricultural and forestry machinery,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aircraft and spacecraft,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Animal feed ingredients and pet foods,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Articles of concrete cement and plaster,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Automobile bodies trailers & semi-trailers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bakery products,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Basic chemicals except fertilizers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Basic iron and steel,6.676503924245737e-08,1.0302528178836627e-07,2.247928886212672e-07,9.867825812851596e-08,1.301374392069146e-07,2.2953457678144715e-07,1.577640600971274e-07,9.765330384267313e-08,1.3359929846031992e-07,1.1487855290493331e-07,7.27870676923646e-07,1.7393448280718434e-07,1.2900043935079344e-07,3.437246217466787e-08,1.18942653823871e-07,1.1493878937304674e-07,1.5944541203774394e-07,3.768963332588789e-07,1.91935539329651e-07,2.2969070984892354e-07,1.6012441067594983e-07,1.4370647766436456e-07,1.275786594699245e-07,1.6188323201454336e-07,6.367400384825548e-08,1.0545117898765767e-07,3.2613492540937705e-07,1.2762499526009093e-07,9.567375089389663e-08,1.0619118561574664e-07,8.716266889993595e-08,1.7315575807316407e-08,1.618894100232655e-07,1.5097461612813896e-07,1.622268780035869e-07,1.9118340949922192e-07,1.9176104205176437e-07,6.60469814058758e-08,3.2946603284524005e-08,2.3185204138366812e-07,1.4239161708480926e-07,1.5580788276069994e-07,1.9632235406041011e-07,1.501711828903926e-07,1.7884772035100937e-07,2.687796159559972e-07,1.277888583998369e-07,5.824600427723643e-08,1.6973329337465613e-07,1.8612460938567572e-07,1.1286644528351769e-07,1.6029340212728488e-07,2.3718573333420723e-07,5.1624954575638594e-08,7.519330996803078e-08,1.6914566813193977e-07,1.8784041840774832e-07,1.7813705240652166e-07,1.397962503358704e-07,1.1313523127520667e-07,2.114386983824749e-07,1.0406377036523985e-07,2.1569216834036724e-07,6.74878983016254e-08,1.5710684031510047e-07,1.5509405223105608e-07,1.5580788276069992e-07,2.004954350415019e-07,1.9972124705850072e-07,1.2012432882799739e-07,2.24118644375196e-07,1.4052810941063564e-07,2.449888597902774e-07,1.0284237390466038e-06,1.4206924329468814e-07,2.250656943455446e-07,1.391844178862712e-07,2.0076652953034279e-07,1.0354759648820427e-07,2.450567578101289e-07,7.761053794252401e-08,1.618065450108325e-07,2.1620522033131344e-07,1.564555002077833e-07,1.5067348823047535e-07,1.591228221473146e-07,1.488231183973674e-07,1.809732884503333e-07,1.2647080619855178e-07,2.1139170554610782e-07,1.164090584647423e-07,1.493416730124564e-07,8.855694765909671e-08,1.5244542562391403e-07,3.246426435243876e-08,1.3308202188140332e-07,1.5206468960931518e-07,1.0640431991200205e-07,1.6519040091611794e-07,1.475508997683622e-07,1.6224029981049647e-07,6.917496022786638e-08,2.3050489869383183e-07,1.4873912632337508e-07,1.7619730843788494e-07,2.0335534409255763e-07,1.3686441725440336e-07,1.2253689847321836e-07,1.0955352876751573e-07,1.4284814867964496e-07,1.4614769573723942e-07,6.194668711197168e-08,1.6586558954595114e-07,1.2171762984948247e-07,1.5358005907822517e-07,1.3112578056719023e-07,5.9169437542819683e-08,1.5091297773779637e-07,1.1938889244055977e-07,1.528023156964245e-07,1.1121362319871102e-07,1.4090031533758676e-07,1.1809749528943266e-07,2.3101935191707793e-07,0.0,1.787639106909269e-07,1.9291825193474688e-07,1.7160091516544095e-07,5.037552978697223e-07,1.6469242721610523e-07,1.5570151097143763e-07,8.938585818511387e-08,1.0156979487789348e-07,1.603588335475389e-07,1.5478624108740265e-07,4.423911304018347e-08,1.4622384485768467e-07,1.2695081775267687e-07,1.4845495306294556e-07,1.32918784299291e-07,1.530673567832609e-07,1.5383634045039007e-07,1.4596928557316062e-07,1.4859363819599357e-07,1.711502670331515e-07,4.116925463180229e-07,1.3525996217882793e-07,1.442455837656903e-07,1.7950845666884298e-07,1.4362312980985803e-07,1.762252490162812e-07,4.0402605134358496e-07,1.7533088905844987e-07,6.812653278704273e-08,1.5164461236648066e-07,1.2265854968772518e-07,1.2229277281537225e-07,2.5144762368118824e-07,2.2519877088232065e-07,1.6170797377736704e-07,1.1090637826061726e-07,1.3251571471496102e-07,1.5170832708771745e-07,1.5718135189094238e-07,1.2693710936451512e-07,0.0,6.300376476699237e-08,1.485370772546876e-07,1.4761752376193608e-07,1.291422440066153e-07,1.5456729568512334e-07,1.4763758069054755e-07,1.8131899854663317e-07,1.1600929931556058e-07,1.0354759648820427e-07,2.9598548946480556e-07,1.7787669595404513e-07,1.4774397827716734e-07,1.2969116171152117e-07,1.6068153314173506e-07,1.572301682935511e-07,1.5462072524377156e-07,1.664436485872439e-07,1.3960308730647535e-07,0.0,2.384216022910851e-07,1.4624745955860253e-07,1.3234497245672042e-07,1.2675856295969405e-07,3.223808787285919e-07,1.4096287959305787e-07,5.09551666041353e-07,1.4160648348888138e-07,1.6316299724100597e-07,1.3305933636113356e-07,1.2453833979118752e-07,2.102701601499395e-07,1.736330729631204e-07,2.574056628653869e-07,1.9053264349820324e-07,5.306958535235648e-07,1.4560007333637275e-07,1.1809814277916968e-07,7.530571882538287e-08,1.890632799503963e-07,1.3657168097516078e-07,1.4778075212086606e-07,1.0926374139805499e-07,1.3661748918484073e-07,1.2600832950040322e-07,1.5426337544636407e-07,1.435074151110225e-07,1.1207399015447379e-07,1.9859674051518987e-07,8.681890747127959e-08,1.442567145598487e-07,1.4039219992225552e-07,1.508177364414982e-07,1.6622699911001753e-07,4.886107909743e-08,7.756356457179077e-08,8.815697503214891e-08,3.246426435243876e-08,7.342630785753575e-08,0.0,1.0428715161364365e-07,1.2711701314707592e-07,6.506239014586707e-08,1.4698837966254935e-07,1.4534252221618355e-07,4.03668826018933e-07,1.3661748918484073e-07,1.0245852736269647e-07,1.9349745467618503e-07,1.752555196447086e-07,1.8692801940803052e-07
Basic precious and non-ferrous metals,5.170279502054337e-10,5.860932308167366e-10,6.345211183049601e-10,4.1701554051345754e-10,5.674110147708238e-10,5.469762738320355e-09,5.895141527712061e-10,3.816722771653339e-10,5.061378986946495e-10,6.239393199586927e-10,6.490498945570456e-10,8.190178495764816e-10,4.67395511777939e-10,5.83157865881089e-10,1.1747782576667246e-09,5.472057065478732e-10,5.848246050033381e-10,9.626797035208706e-10,7.310970180437343e-10,7.273527379902638e-10,6.987048379394927e-10,5.875168772052404e-10,4.251265361963642e-10,5.962466264711396e-10,4.077943256966956e-10,4.2893730124173643e-10,8.442730671875558e-10,5.216067589702734e-10,4.929451032807344e-10,4.4145515130775425e-10,4.127155248397477e-10,1.4358459673397072e-10,4.25635873358417e-10,6.072640914687922e-10,5.909100601485961e-10,6.246745938554415e-10,6.258045974948814e-10,4.759891944332551e-10,5.894568462172257e-10,6.303933818792969e-10,5.083185136430541e-10,5.992862310201604e-10,7.75380289772208e-10,6.111687011343133e-10,6.164724201248778e-10,6.435935322601717e-10,5.816356845809937e-10,5.146553297579766e-10,6.320096917468354e-10,7.441889683256157e-10,3.644008725624247e-10,5.728446565215073e-10,6.739251546164412e-10,4.4890918446790743e-10,6.087844827166913e-10,6.059110041469428e-10,7.603654024986158e-10,7.953916930634006e-10,6.167872816990117e-10,5.442154770864332e-10,9.127897478925397e-10,5.216030467515831e-10,6.419799502913181e-10,5.128393439638717e-10,6.11023807839077e-10,6.077831065260702e-10,0.0,6.644257355720533e-10,6.07891887057577e-10,5.931060111961189e-10,6.626972157315676e-10,5.973705608846709e-10,5.594291496248098e-10,8.931701461967038e-10,5.158212231383851e-10,8.320390442398016e-10,5.360591646160126e-10,6.723181279537641e-10,5.727122238751142e-10,5.58318324806269e-10,4.337208015400667e-10,6.521604360286253e-10,6.55871976949516e-10,5.951522165719207e-10,6.371804258851237e-10,6.520657014333673e-10,6.12059619893181e-10,3.0810771168631285e-10,4.577955406285141e-10,9.076547779254074e-10,6.512549116443141e-10,6.01574957747189e-10,5.24808221122805e-10,6.134254411677543e-10,0.0,5.317732330074583e-10,6.697466067253447e-10,5.49911228361631e-10,7.606132620142735e-10,5.921585316045236e-10,5.999531044171955e-10,3.4979211007433374e-10,6.083575596099717e-10,5.96258645606749e-10,5.691634283440741e-10,7.124604571457364e-10,5.726356755859252e-10,5.872739507894684e-10,5.146955813587138e-10,5.925393237478534e-10,5.767706291685798e-10,5.06736393642401e-11,5.966871144298487e-10,1.0714781296858824e-11,6.0094443566817e-10,5.83547428377075e-10,3.597992714714705e-10,6.050610323325133e-10,5.961617310030828e-10,5.981293010687706e-10,6.422849666268811e-10,5.811739094377814e-10,5.695054156642676e-10,4.421885045831185e-10,0.0,6.964653830954128e-10,6.180382299925245e-10,5.292006074255109e-10,3.5762727342809186e-08,6.557653931142832e-10,6.033346343178111e-10,7.238315115509779e-10,7.522798213570985e-10,6.811619645333234e-10,6.171278203187908e-10,4.413174156351354e-10,5.372483913945083e-10,5.785647870254085e-10,6.350286644536831e-10,6.509452248910444e-10,6.010167018438571e-10,4.1823804974760677e-10,6.013097485472688e-10,5.77875415988407e-10,6.647031303890647e-10,6.461921203197181e-10,3.5125518268831447e-10,6.561701316359954e-10,6.083412393275146e-10,5.850046975486973e-10,6.192708753424239e-10,6.570816113222141e-10,6.341410862106386e-10,5.8707530779369e-10,6.374904549771837e-10,4.675306253840113e-10,5.878379026753834e-10,7.449689867476677e-10,4.681209558197814e-10,5.922247336603023e-10,5.911598218721713e-10,5.878379026753834e-10,5.70643722493436e-10,6.063410066398855e-10,5.034215427160079e-10,7.449689867476676e-10,5.559063169365117e-10,5.964422454628266e-10,5.893222777315759e-10,5.82797069110325e-10,7.183765606611723e-10,6.387019293519434e-10,7.512256044496999e-10,3.2678078104238286e-10,5.72712223875114e-10,7.457033035080685e-10,5.833862504384767e-10,7.422757075934642e-10,5.041004413105477e-10,6.204500069686126e-10,5.954395204673936e-10,5.834950439893064e-10,7.947021813339147e-10,6.044847933518735e-10,0.0,5.845299195174596e-10,5.928777443326306e-10,6.017326785345559e-10,5.468832822511516e-10,6.880152861176221e-10,5.929136955696268e-10,8.069599140016396e-10,6.486962131625906e-10,6.085778940159031e-10,6.293534259319572e-10,5.974586444681297e-10,7.514306780665517e-10,6.892671335132972e-10,5.539793975292527e-10,6.193204600910463e-10,5.77171617561142e-10,6.195041159909598e-10,5.965649168095249e-10,5.531124901140613e-10,5.820309560424165e-10,6.617374576504286e-10,6.036507328567759e-10,5.184877927168941e-10,4.727286360676503e-10,5.368204619009551e-10,5.922853600554623e-10,5.910292278395412e-10,6.997947446965593e-10,7.142364086180355e-10,4.859369131339764e-10,5.965100741514983e-10,6.035554868880851e-10,6.217861235992372e-10,6.321639299888208e-10,2.956025826051699e-10,4.785839318158346e-10,3.5395293259783374e-10,3.4970152015124355e-10,4.1448385849315044e-10,6.306381304301076e-10,4.519492705725397e-10,4.839036214851924e-10,4.954742003979726e-10,6.026674136739344e-10,6.190418972205283e-10,7.416632558865177e-10,5.564524138030965e-10,6.034764405722592e-10,6.279346377060429e-10,6.19459847674995e-10,6.274661060391946e-10
