,ABW,AFG,AGO,AIA,ALB,AND,ARE,ARG,ARM,ASM,ATA,ATF,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BES,BFA,BGD,BGR,BHR,BHS,BIH,BLM,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BVT,BWA,CAF,CAN,CCK,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CUW,CXR,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESH,ESP,EST,ETH,FIN,FJI,FLK,FRA,FRE,FRO,FSM,GAB,GAZ,GBR,GEO,GHA,GIB,GIN,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUM,GUY,HKG,HND,HRV,HTI,HUN,IDN,IND,IOT,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAC,MAR,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MNP,MOZ,MRT,MSR,MUS,MWI,MYS,NAM,NCL,NER,NFK,NGA,NIC,NIU,NLD,NOR,NPL,NRU,NZL,OMN,PAK,PAN,PCN,PER,PHL,PLW,PNG,POL,PRK,PRT,PRY,PSE,PYF,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SGS,SHN,SLB,SLE,SLV,SMR,SOM,SPM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SXM,SYC,SYR,TCA,TCD,TGO,THA,TJK,TKL,TKM,TLS,TON,TTO,TUN,TUR,TUV,TWN,TZA,UGA,UKR,UMI,URY,USA,UZB,VAT,VCT,VEN,VGB,VNM,VUT,WLF,WSM,YEM,ZAF,ZMB,ZWE
Accumulators primary cells and batteries,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Agricultural and forestry machinery,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aircraft and spacecraft,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Animal feed ingredients and pet foods,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Articles of concrete cement and plaster,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Automobile bodies trailers & semi-trailers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bakery products,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Basic chemicals except fertilizers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Basic iron and steel,9.767239434016199e-09,2.1358388789088697e-08,3.213591703943028e-08,1.3928590816375609e-08,1.48599675311177e-08,1.3114722950285553e-08,4.0736361768068646e-08,1.9413925332473058e-08,2.8236255978324683e-08,2.858059359166751e-08,2.8392133405587026e-08,1.0958513793544467e-08,2.7476327391444225e-08,7.653019288929516e-09,9.127421263229522e-09,1.803474712970204e-08,7.521299700095834e-08,1.981158771678241e-08,2.36167466419937e-08,1.577301482741155e-08,3.512740361476877e-08,3.9329417851777356e-08,1.3566764840947313e-08,4.066263765689484e-08,8.220828283268566e-09,1.166818408215516e-08,1.2172078770077913e-08,1.9824304122243064e-08,2.3945980892427853e-08,9.865759263938194e-09,2.1650871665983323e-08,3.38816338907481e-09,2.4062206999411402e-08,3.5432030474480546e-08,9.731385655390988e-08,0.0,1.3453411681516064e-07,3.788420673470978e-08,1.4472271673770244e-08,6.9333410081457805e-09,1.4638331993360125e-08,3.167201762611621e-08,4.29826574785267e-08,2.8857858755624884e-08,3.37027061175306e-08,6.501865164493696e-08,2.6515678419266596e-08,2.994289396835144e-08,1.322585654923061e-08,2.7243359076886487e-08,1.730745475039833e-08,2.6203655161074965e-08,2.1261790846304457e-08,1.988804710434447e-08,1.2285490616492289e-08,1.2476501279142295e-08,1.516955758156759e-08,1.4318718401098832e-08,1.1759762637430658e-08,3.9486644829096674e-08,1.9533495636095935e-08,1.8320412118369923e-08,1.955150027184697e-08,2.087350660860029e-08,1.494094895460518e-08,2.0712706496010735e-08,3.5181555499008494e-08,4.29826574785267e-08,1.276828841228383e-08,1.8287951158154593e-08,3.226854866288824e-08,1.825853074632943e-08,3.735934667631368e-08,1.9187776616736403e-08,1.470048465821247e-08,2.9437143077434296e-08,1.806598423247232e-08,3.634074972944279e-08,2.2043854032114644e-08,1.3148238719051923e-08,1.9180114661551225e-08,1.4005049652880253e-08,3.6114474034149206e-08,1.4148824711021982e-08,3.0001341796745665e-08,5.012964112236329e-08,2.7453663173113845e-08,2.3185269440927532e-08,1.4180506923155727e-08,2.3559212286600725e-08,1.8334086706908947e-08,2.7984649939373127e-08,3.814947610475759e-08,1.59031758923199e-08,3.9482085433720196e-08,3.4166306211794674e-08,1.345089454077436e-08,1.8897124107903706e-08,1.2079134735700338e-08,4.258930229964651e-08,9.742547771730719e-08,1.3756384626585366e-08,1.88484690164661e-08,3.620564820454704e-08,2.4722189732535237e-08,2.0702108878818898e-08,1.7621528729141246e-08,1.0984224607452541e-08,1.6584224384269593e-08,2.87497732439409e-08,3.847371790609175e-08,1.124831552563835e-08,1.1645311891906445e-07,2.202858030807967e-08,4.17680842346254e-08,3.4415188245516193e-08,1.1192623338854608e-08,3.8344591219787046e-08,2.9564334954941087e-08,4.183421737342105e-08,1.9408830457719906e-08,3.539118586416137e-08,2.505846010102322e-08,2.31761846638076e-08,0.0,5.763514072430246e-08,1.3883682092092767e-07,1.681439965907768e-08,1.4465042933234287e-08,1.9655865490566435e-08,4.270289217625273e-08,7.091692253613196e-09,1.4925954046608934e-08,3.449121287180312e-08,4.9259367689830725e-08,8.602732136209044e-09,2.756612930488209e-08,1.3824920821139836e-08,3.00414209381552e-08,1.991595757251203e-08,4.268841610282632e-08,1.5087748522457553e-08,3.47387860385433e-08,3.7645514913588113e-08,4.741699717459419e-05,2.2222403683294836e-08,1.6879053937922255e-08,4.943587051100061e-08,5.23228432722272e-06,3.782945713351917e-08,9.881727124734897e-08,2.731886816249976e-08,3.5802964409264127e-08,1.5985257254345706e-08,3.539574925962876e-08,2.9568815536211453e-08,2.936036315397444e-08,1.8124287981919413e-08,2.1469028247201627e-08,9.349012668761737e-08,2.9118891941199793e-08,3.1879813865991776e-08,4.4079425130335825e-08,3.6751574118242544e-08,2.8070336227795195e-08,0.0,1.5106571853160397e-08,3.7998236201763086e-08,3.868063585555256e-08,3.416430610727813e-08,1.2846853394230611e-08,5.5254138815896066e-08,1.4815099494264202e-08,2.4919660033443403e-08,1.3148238719051925e-08,2.533322094601223e-08,2.6065120302333896e-08,1.2020817426300284e-08,2.1060004571203e-08,7.955825984809562e-08,3.499920830842615e-08,3.81586298614692e-08,2.0269653984535535e-08,2.9154559224556707e-08,0.0,2.7158122993065057e-08,3.949180699643993e-08,3.201063852323806e-08,3.104037620622944e-08,1.3922055343184516e-08,3.6732507687358026e-08,1.4034915646520043e-08,1.7182931209066042e-08,8.405081464179315e-08,2.7199426026202883e-08,2.4524781783231017e-08,1.5385497473321956e-08,1.642555552649006e-08,1.775569328268426e-08,1.3544033885923674e-07,1.2831122489916278e-08,3.762340426814709e-08,1.8447902379560542e-08,1.327424913261809e-08,4.00126024955662e-08,2.6959264839396513e-08,3.916389519008761e-08,2.359560526182108e-08,3.4852697689397615e-08,2.1805972913524992e-08,4.253515537960979e-08,3.7976287975796796e-08,2.249993523285189e-08,1.8778133318953817e-08,8.631772443062478e-09,4.4169295544394674e-08,3.474501210467144e-08,7.751941369519177e-08,9.155725675375917e-08,7.630516520951607e-09,1.4699124984632146e-08,2.030029146902624e-08,6.6898885488613055e-09,1.4668169325413335e-08,0.0,1.3674039411325767e-08,3.026172539168449e-08,1.0913665238008397e-08,4.19598385389763e-08,3.7927946830913225e-08,2.655947331378919e-08,3.4852697689397615e-08,1.51399746267643e-08,1.4016314725873446e-07,1.3574487496835837e-07,1.049874663848956e-06
Basic precious and non-ferrous metals,5.372637650199048e-09,5.975616394843454e-09,6.412434936410093e-09,4.356233612324655e-09,8.608201594013735e-09,7.36307439806874e-09,6.06693768367879e-09,4.141418294113421e-09,5.790205338599302e-09,6.2655514512651725e-09,6.917186034927297e-09,8.38926001025359e-09,4.903015037878649e-09,5.969838963341053e-09,1.2042931785644948e-08,5.623415561047565e-09,5.85496497170031e-09,7.102103867007861e-09,7.095090809097269e-09,7.646127993958857e-09,8.419123850300787e-09,5.987996195711228e-09,5.412587200138516e-09,6.14426987619919e-09,4.291861927499017e-09,2.135758479875334e-08,7.80010551984428e-09,6.012119476985806e-09,5.057999997663363e-09,4.5270602318435774e-09,4.290087950884732e-09,1.5878894007733798e-09,4.351271971671128e-09,6.143323390054341e-09,6.000030387430676e-09,0.0,6.392422886521955e-09,6.330085230229794e-09,4.930443941990412e-09,6.0660622680226595e-09,6.430777594940859e-09,5.312900659338287e-09,5.984959846848797e-09,7.110164622356312e-09,6.184845453515519e-09,6.31639914307697e-09,6.296747088317184e-09,5.984855029177824e-09,5.4559214891937125e-09,6.347445370583415e-09,7.617924396720766e-09,3.8019831051541826e-09,6.518886561455137e-09,6.885112952004032e-09,4.6345977619518655e-09,6.26479377037666e-09,5.77119335039581e-09,1.2501959215455958e-08,8.501365298880287e-09,6.341818459863065e-09,5.4508010378077885e-09,1.0064688949479112e-08,6.287779965248907e-09,7.141903760540441e-09,5.887466893621114e-09,6.417702763035318e-09,6.312152115019306e-09,0.0,7.303814005674679e-09,6.86879847135521e-09,6.072772054839472e-09,6.758169332030713e-09,5.967386775360708e-09,5.785155190239614e-09,8.060078567089085e-09,5.473650970031159e-09,9.136896355284535e-09,5.391002727652718e-09,6.7050425120641445e-09,5.9899833323933075e-09,5.775907011425639e-09,5.3033746789864476e-09,6.3622374528630025e-09,7.123048892955584e-09,6.084961625438983e-09,6.440015141999801e-09,6.629681010263134e-09,6.202382949480152e-09,3.088367846506874e-09,4.8509126624577455e-09,9.998189802306683e-09,5.861438568309049e-09,5.906554969392206e-09,5.351353189674162e-09,6.045382373864e-09,5.5058749739098745e-09,8.333969276307454e-08,5.829235088638258e-09,1.3192980799851066e-08,5.972679441702513e-09,6.059475912210741e-09,3.6547260868717026e-09,6.382360901459328e-09,6.415196407289882e-09,5.866508809039236e-09,7.565192581608994e-09,6.18516796871905e-09,9.44841517657324e-09,5.351315809913044e-09,6.790903003059989e-09,5.96630592639412e-09,5.812093978721659e-10,6.139775210048721e-09,1.156272943471874e-10,6.028402413296093e-09,5.868238399648227e-09,3.750940092291321e-09,5.897358406452431e-09,6.157310931270523e-09,5.9918376432803225e-09,6.5274267584196596e-09,5.832810535345653e-09,6.182932688789526e-09,4.594695832921137e-09,0.0,6.070022829301022e-09,6.298214087621616e-09,6.11068824823566e-09,7.483226294702218e-09,7.41625582323962e-09,6.024002275439657e-09,7.0184526331888e-09,7.908453893806457e-09,6.578926077427089e-09,6.418454087975604e-09,4.595058647424774e-09,5.390709264623795e-09,7.956689175479137e-09,6.853415509531331e-09,7.469959222327402e-09,5.995223495864034e-09,1.5451288664094007e-08,7.05808584920141e-09,5.944953585603864e-09,6.509195668836549e-09,6.392751079590402e-09,3.6680159334330413e-09,6.525671133798181e-09,6.22430509136224e-09,5.934104315854409e-09,6.303720954413099e-09,6.634323196435567e-09,6.4688004052467015e-09,6.045365877905265e-09,6.251661329410481e-09,4.998766965031477e-09,6.060068441405056e-09,7.938437257582733e-09,6.070475668538181e-09,6.031855748000241e-09,5.964108345152444e-09,6.060068441405056e-09,5.881283281027806e-09,6.173745608314339e-09,2.048754522855219e-08,7.938437257582731e-09,6.2820340913879486e-09,5.99351142946129e-09,5.87660595128006e-09,5.889580578228895e-09,9.220109309377046e-09,6.410224733485892e-09,7.604850972231012e-09,3.418870384356317e-09,5.989983332393306e-09,7.1218612160963975e-09,6.001787630122072e-09,8.606029489198168e-09,5.843361872120789e-09,6.4317418113418734e-09,6.154472157649673e-09,5.997937796086623e-09,8.077529932141494e-09,6.066213892476541e-09,0.0,5.915045743983906e-09,6.002792160887161e-09,6.079086100804017e-09,5.759343061488436e-09,1.259097009235383e-07,5.986826227869072e-09,7.276622227619975e-09,1.549474946100267e-08,6.172670253022646e-09,6.3154314580610835e-09,6.158533359012644e-09,1.2202409020040916e-08,3.1902290467012965e-07,5.67561485847393e-09,6.332799114314933e-09,6.007914565636192e-09,6.551339290712412e-09,6.247997743459393e-09,5.70091567725248e-09,5.945264864565886e-09,6.560082733143507e-09,6.091189183812616e-09,5.5014979041746604e-09,6.049304734388468e-09,5.560315069263002e-09,6.0523664699166335e-09,5.979363553724244e-09,6.315787168129722e-09,8.194743755190583e-09,5.10921137991579e-09,5.9676009851108485e-09,5.862262536397719e-09,6.305034844687581e-09,6.169848887849756e-09,3.553056609895961e-09,4.943855403596521e-09,3.737820168011027e-09,3.653744093520364e-09,4.65251100026558e-09,6.4338489799521915e-09,4.683442743582263e-09,5.2481857880146175e-09,5.223300906404072e-09,5.972605592378534e-09,6.301673302232499e-09,6.973749826887194e-09,5.66461862557646e-09,6.338302246249125e-09,6.476331163362944e-09,6.300597166247296e-09,6.41241915576617e-09
