Economías Emergentes y en Desarrollo (Cluster 0);Estados con Desafíos Geopolíticos (Cluster 1);Economías Avanzadas y Aliados Estratégicos (Cluster 2);Socios Históricos y Culturales (Cluster 3);América Latina: Aliados Regionales Clave (Cluster 4)
ABW;AFG;ARG;ALB;CHL
AGO;ARM;BOL;ATG;COL
AIA;AZE;CCK;AUT;CRI
ALA;CAF;CUB;BEL;DOM
AND;CHN;ESH;BGR;ECU
ARE;COD;GNQ;BHS;GTM
ASM;EGY;HTI;BIH;HND
AUS;IRQ;MAR;BLZ;MEX
BDI;ISR;PHL;BRB;NIC
BEN;LBN;PRI;CAN;PAN
BFA;LBY;PRY;CYP;PER
BGD;MMR;URY;CZE;SLV
BHR;NGA;USA;DEU;
BLM;PRK;;DMA;
BLR;RUS;;DNK;
BMU;SDN;;EST;
BRA;SOM;;FIN;
BRN;SSD;;FRA;
BTN;SYR;;GBR;
BWA;VEN;;GEO;
CHE;YEM;;GRC;
CIV;ZWE;;GRD;
CMR;;;GUY;
COG;;;HRV;
COK;;;HUN;
COM;;;IRL;
CPV;;;ISL;
CUW;;;ITA;
CXR;;;JAM;
CYM;;;JPN;
DJI;;;KNA;
DZA;;;KOR;
ERI;;;LCA;
ETH;;;LIE;
FJI;;;LTU;
FLK;;;LUX;
FRO;;;LVA;
FSM;;;MDA;
GAB;;;MKD;
GGY;;;MLT;
GHA;;;MNE;
GIB;;;NLD;
GIN;;;NOR;
GLP;;;POL;
GMB;;;PRT;
GNB;;;ROU;
GRL;;;SGP;
GUF;;;SUR;
GUM;;;SVK;
HKG;;;SVN;
IDN;;;SWE;
IMN;;;TTO;
IND;;;UKR;
IOT;;;VCT;
IRN;;;;
JEY;;;;
JOR;;;;
KAZ;;;;
KEN;;;;
KGZ;;;;
KHM;;;;
KIR;;;;
KWT;;;;
LAO;;;;
LBR;;;;
LKA;;;;
LSO;;;;
MAC;;;;
MAF;;;;
MCO;;;;
MDG;;;;
MDV;;;;
MHL;;;;
MLI;;;;
MNG;;;;
MNP;;;;
MOZ;;;;
MRT;;;;
MSR;;;;
MTQ;;;;
MUS;;;;
MWI;;;;
MYS;;;;
MYT;;;;
NAM;;;;
NCL;;;;
NER;;;;
NFK;;;;
NIU;;;;
NPL;;;;
NRU;;;;
NZL;;;;
OMN;;;;
PAK;;;;
PCN;;;;
PLW;;;;
PNG;;;;
PSE;;;;
PYF;;;;
QAT;;;;
REU;;;;
RWA;;;;
SAU;;;;
SEN;;;;
SHN;;;;
SLB;;;;
SLE;;;;
SMR;;;;
SPM;;;;
SRB;;;;
STP;;;;
SWZ;;;;
SXM;;;;
SYC;;;;
TCA;;;;
TCD;;;;
TGO;;;;
THA;;;;
TJK;;;;
TKL;;;;
TKM;;;;
TLS;;;;
TON;;;;
TUN;;;;
TUR;;;;
TUV;;;;
TWN;;;;
TZA;;;;
UGA;;;;
UZB;;;;
VAT;;;;
VGB;;;;
VIR;;;;
VNM;;;;
VUT;;;;
WLF;;;;
WSM;;;;
ZAF;;;;
ZMB;;;;
