País,Dependencia promedio,Arancel (%),Exposición ponderada,Volumen comercial
CHN,0.501462486011093,34,28.984531691441177,460860.03463625314
VNM,0.27615383682640604,46,20.960076215124218,63228.44389873743
MDG,0.2813046031241931,47,19.30312186638213,422.0260009765625
CIV,0.4863586047784914,21,15.422431357525966,771.1830215454102
KAZ,0.2605683900353982,27,10.975140588290973,85.90965270996094
CHE,0.18331994746442834,32,9.913942758876285,40973.44617930969
BGD,0.15342093738578583,37,8.458096278078372,6597.383357524872
TWN,0.14415148198155636,32,7.749583671328469,49597.87427210808
THA,0.11806967470117,37,7.3392109794247276,28536.132467269897
IRL,0.21508335691873018,20,7.26981746385308,67240.92322063446
MYS,0.17437735329949047,24,7.030894885035454,38580.57933354378
IND,0.12666528135508157,27,5.7455371622665,69665.65240168571
JPN,0.13564002381034895,24,5.501559365747753,164040.2593291192
KHM,0.06369428255983703,49,4.681529768148024,4812.522573471069
MKD,0.0925328692439638,33,4.5498411807257,18.14299964904785
IDN,0.08345882410429258,32,4.486746383846769,16223.192834615707
FRA,0.129511940619621,20,4.37750359294319,49592.140439165596
DEU,0.12835145566156209,20,4.363949492493111,138494.58259922266
ISR,0.13794432159437525,17,3.822437151380138,13583.854128599167
KOR,0.07980907069395146,26,3.5068105662922266,74781.11251402574
ZAF,0.05806629954482587,31,3.0600939860123226,4410.719461679459
NLD,0.0879574928851883,20,2.990554758096402,18385.633772969246
ITA,0.08309419886672653,20,2.8085839216953565,54368.96328353882
PAK,0.05223179189620919,30,2.5227955485869042,3397.3028540611267
MWI,0.092401140074413,18,2.4615663715823626,39.11600112915039
LKA,0.03409208039265448,44,2.3400803981518035,2202.085747241974
BEL,0.06152012068195957,20,2.079380079050233,14431.214557766914
DZA,0.0411425145307047,30,1.8267276451632886,1812.9415283203125
PHL,0.06124076968355463,18,1.8188508596015727,9959.484543800354
MMR,0.02560971743074916,45,1.7286559265755679,240.49932551383972
ESP,0.04737473835681418,20,1.6107411041316821,7236.257591843605
BWA,0.0252578072069038,38,1.44929297753214,189.0812225341797
CHL,0.08411847437634246,10,1.4131903695225532,8891.971853733063
LUX,0.036755103552519194,20,1.2423225000751488,661.0
CZE,0.03682075142062095,20,1.2371772477328642,1193.8679111003876
COL,0.07500580036297139,10,1.2300951259527309,12260.569766879082
SWE,0.03344049954058921,20,1.1302888844719152,5575.561179161072
