País,Región,Sector,Centralidad Sectorial,Arancel (%),Exposición Sectorial,Centralidad Global
CHN,Asia,Accumulators primary cells and batteries,1.0,34,0.34,0.6747617951069954
CHN,Asia,Agricultural and forestry machinery,1.0,34,0.34,0.6747617951069954
CHN,Asia,Articles of concrete cement and plaster,1.0,34,0.34,0.6747617951069954
THA,Asia,Grain mill products,0.894832504739383,37,0.33108802675357174,0.1080957674366236
THA,Asia,Soft drinks; mineral waters,0.873403063883288,37,0.3231591336368166,0.1080957674366236
THA,Asia,Cement lime and plaster,0.7426131600336967,37,0.2747668692124678,0.1080957674366236
IND,Otros,Other oilseeds (excluding peanuts),1.0,27,0.27,0.2243627958288195
IND,Otros,Rice (raw),1.0,27,0.27,0.2243627958288195
IND,Otros,Spices,1.0,27,0.27,0.2243627958288195
ZAF,Otros,Dairy products,0.8663558663558664,31,0.26857031857031854,0.19597746025353938
ZAF,Otros,Mining of hard coal,0.8599784545788414,31,0.2665933209194408,0.19597746025353938
ZAF,Otros,Prepared animal feeds,0.8418213864795501,31,0.26096462980866053,0.19597746025353938
JPN,Asia,Engines & turbines (not for transport equipment),1.0,24,0.24,0.1158046634360965
JPN,Asia,Motor vehicles,1.0,24,0.24,0.1158046634360965
NLD,UE,Malt liquors and malt,1.0,20,0.2,0.21104784012555805
NLD,UE,Fresh vegetables,1.0,20,0.2,0.21104784012555805
NLD,UE,Animal feed ingredients and pet foods,1.0,20,0.2,0.21104784012555805
FRA,UE,Wines,1.0,20,0.2,0.21807776074284635
FRA,UE,Manufacturing services on physical inputs owned by others,1.0,20,0.2,0.21807776074284635
ITA,UE,Raw and refined sugar and sugar crops,0.975,20,0.195,0.11260840174295936
