País,Centralidad,Arancel (%),Exposición,Región
CHN,0.6747617951069954,34,0.22941901033637843,Asia
ZAF,0.19597746025353938,31,0.06075301267859721,Otros
IND,0.2243627958288195,27,0.06057795487378126,Otros
DEU,0.2608025434417898,20,0.05216050868835796,UE
FRA,0.21807776074284635,20,0.04361555214856927,UE
NLD,0.21104784012555805,20,0.04220956802511161,UE
THA,0.1080957674366236,37,0.03999543395155073,Asia
JPN,0.1158046634360965,24,0.027793119224663158,Asia
GBR,0.26531699818569776,10,0.026531699818569777,Otros
BEL,0.13003153538470194,20,0.026006307076940387,UE
ITA,0.11260840174295936,20,0.022521680348591873,UE
TUR,0.12146353645041835,10,0.012146353645041836,Otros
USA,0.3405717774813405,0,0.0,Otros
ARE,0.16630871990660026,0,0.0,Otros
NZL,0.11006282743132839,0,0.0,Otros
