supplier_country,industry,tariff,tariff_group,dependency_value,trade_value,region
LSO,Accumulators primary cells and batteries,50,>40%,0.0,0.0,OTHER
KHM,Accumulators primary cells and batteries,49,>40%,0.0,0.0,ASIA
LAO,Accumulators primary cells and batteries,48,>40%,0.0,0.0,ASIA
MDG,Accumulators primary cells and batteries,47,>40%,0.0,0.0,OTHER
VNM,Accumulators primary cells and batteries,46,>40%,0.0579684941393264,323.5491638183594,ASIA
MMR,Accumulators primary cells and batteries,45,>40%,0.0,0.0,ASIA
LKA,Accumulators primary cells and batteries,44,>40%,0.0,0.0,ASIA
FLK,Accumulators primary cells and batteries,42,>40%,0.0,0.0,OTHER
SYR,Accumulators primary cells and batteries,41,>40%,0.0,0.0,OTHER
MUS,Accumulators primary cells and batteries,40,31-40%,0.0,0.0,OTHER
IRQ,Accumulators primary cells and batteries,39,31-40%,0.0,0.0,OTHER
BWA,Accumulators primary cells and batteries,38,31-40%,0.0,0.0,OTHER
GUY,Accumulators primary cells and batteries,38,31-40%,0.0,0.0,OTHER
SRB,Accumulators primary cells and batteries,38,31-40%,0.0,0.0,OTHER
THA,Accumulators primary cells and batteries,37,31-40%,0.0049073146742483,0.0,ASIA
BGD,Accumulators primary cells and batteries,37,31-40%,0.0,0.0,ASIA
BIH,Accumulators primary cells and batteries,36,31-40%,0.0,0.0,OTHER
CHN,Accumulators primary cells and batteries,34,31-40%,0.4278824826383299,2684.37353515625,ASIA
MKD,Accumulators primary cells and batteries,33,31-40%,0.0,0.0,OTHER
TWN,Accumulators primary cells and batteries,32,31-40%,0.0237113438464865,217.0702209472656,ASIA
IDN,Accumulators primary cells and batteries,32,31-40%,0.0227655787769529,72.8472900390625,ASIA
AGO,Accumulators primary cells and batteries,32,31-40%,0.0,0.0,OTHER
CHE,Accumulators primary cells and batteries,32,31-40%,0.0,0.0,OTHER
FJI,Accumulators primary cells and batteries,32,31-40%,0.0,0.0,OTHER
LBY,Accumulators primary cells and batteries,31,31-40%,0.0,0.0,OTHER
MDA,Accumulators primary cells and batteries,31,31-40%,0.0,0.0,OTHER
ZAF,Accumulators primary cells and batteries,31,31-40%,0.0,0.0,OTHER
DZA,Accumulators primary cells and batteries,30,21-30%,0.0,0.0,OTHER
NRU,Accumulators primary cells and batteries,30,21-30%,0.0,0.0,OTHER
PAK,Accumulators primary cells and batteries,30,21-30%,0.0,0.0,OTHER
TUN,Accumulators primary cells and batteries,28,21-30%,0.0,0.0,OTHER
IND,Accumulators primary cells and batteries,27,21-30%,0.0008277982989801,0.0,OTHER
KAZ,Accumulators primary cells and batteries,27,21-30%,0.0,0.0,OTHER
KOR,Accumulators primary cells and batteries,26,21-30%,0.22642094216743647,1262.8695068359375,ASIA
JPN,Accumulators primary cells and batteries,24,21-30%,0.2292857026984376,1762.9813232421875,ASIA
MYS,Accumulators primary cells and batteries,24,21-30%,0.0768738610923895,122.1576690673828,ASIA
BRN,Accumulators primary cells and batteries,24,21-30%,0.0,0.0,ASIA
VUT,Accumulators primary cells and batteries,23,21-30%,0.0,0.0,OTHER
CIV,Accumulators primary cells and batteries,21,21-30%,0.0,0.0,OTHER
NAM,Accumulators primary cells and batteries,21,21-30%,0.0,0.0,OTHER
DEU,Accumulators primary cells and batteries,20,11-20%,0.0851239698819348,373.516357421875,EU
FRA,Accumulators primary cells and batteries,20,11-20%,0.0126943087192545,124.07195281982422,EU
POL,Accumulators primary cells and batteries,20,11-20%,0.0058203453339184,0.0,EU
AUT,Accumulators primary cells and batteries,20,11-20%,0.0044080471177477,0.0,EU
CZE,Accumulators primary cells and batteries,20,11-20%,0.0017994579959458,0.0,EU
ESP,Accumulators primary cells and batteries,20,11-20%,0.0017830887415582,0.0,EU
ITA,Accumulators primary cells and batteries,20,11-20%,0.0015106396128777,0.0,EU
HUN,Accumulators primary cells and batteries,20,11-20%,0.0013097797994464,0.0,EU
BEL,Accumulators primary cells and batteries,20,11-20%,0.0009606810600712,0.0,EU
NLD,Accumulators primary cells and batteries,20,11-20%,0.000932560878074,0.0,EU
ROU,Accumulators primary cells and batteries,20,11-20%,0.0004868307869928,0.0,EU
SVK,Accumulators primary cells and batteries,20,11-20%,0.0002980341401587,0.0,EU
SVN,Accumulators primary cells and batteries,20,11-20%,0.0002763635901798,0.0,EU
PRT,Accumulators primary cells and batteries,20,11-20%,0.0002663662016981,0.0,EU
BGR,Accumulators primary cells and batteries,20,11-20%,0.0002104183077193,0.0,EU
GRC,Accumulators primary cells and batteries,20,11-20%,0.0001982900047802,0.0,EU
SWE,Accumulators primary cells and batteries,20,11-20%,0.0001348676271518,0.0,EU
DNK,Accumulators primary cells and batteries,20,11-20%,4.854183681081642e-05,0.0,EU
CYP,Accumulators primary cells and batteries,20,11-20%,0.0,0.0,EU
EST,Accumulators primary cells and batteries,20,11-20%,0.0,0.0,EU
FIN,Accumulators primary cells and batteries,20,11-20%,0.0,0.0,EU
HRV,Accumulators primary cells and batteries,20,11-20%,0.0,0.0,EU
IRL,Accumulators primary cells and batteries,20,11-20%,0.0,0.0,EU
JOR,Accumulators primary cells and batteries,20,11-20%,0.0,0.0,OTHER
LTU,Accumulators primary cells and batteries,20,11-20%,0.0,0.0,EU
LUX,Accumulators primary cells and batteries,20,11-20%,0.0,0.0,EU
LVA,Accumulators primary cells and batteries,20,11-20%,0.0,0.0,EU
MLT,Accumulators primary cells and batteries,20,11-20%,0.0,0.0,EU
NIC,Accumulators primary cells and batteries,19,11-20%,0.0,0.0,LATAM
PHL,Accumulators primary cells and batteries,18,11-20%,0.0072245316462565,78.76199340820312,ASIA
MWI,Accumulators primary cells and batteries,18,11-20%,0.0,0.0,OTHER
ZWE,Accumulators primary cells and batteries,18,11-20%,0.0,0.0,OTHER
ISR,Accumulators primary cells and batteries,17,11-20%,0.0010103380567225,0.0,OTHER
ZMB,Accumulators primary cells and batteries,17,11-20%,0.0,0.0,OTHER
MOZ,Accumulators primary cells and batteries,16,11-20%,0.0,0.0,OTHER
NOR,Accumulators primary cells and batteries,16,11-20%,0.0,0.0,OTHER
VEN,Accumulators primary cells and batteries,15,11-20%,0.0,0.0,LATAM
NGA,Accumulators primary cells and batteries,14,11-20%,0.0,0.0,OTHER
GNQ,Accumulators primary cells and batteries,13,11-20%,0.0,0.0,OTHER
TCD,Accumulators primary cells and batteries,13,11-20%,0.0,0.0,OTHER
CMR,Accumulators primary cells and batteries,12,11-20%,0.0,0.0,OTHER
COD,Accumulators primary cells and batteries,11,11-20%,0.0,0.0,OTHER
SGP,Accumulators primary cells and batteries,10,0-10%,0.0591612385579203,155.6999053955078,ASIA
GBR,Accumulators primary cells and batteries,10,0-10%,0.009989916653776899,111.64344787597656,OTHER
TUR,Accumulators primary cells and batteries,10,0-10%,4.615189731090128e-05,0.0,OTHER
AUS,Accumulators primary cells and batteries,10,0-10%,0.0,0.0,OTHER
BRA,Accumulators primary cells and batteries,10,0-10%,0.0,0.0,LATAM
CHL,Accumulators primary cells and batteries,10,0-10%,0.0,0.0,LATAM
COL,Accumulators primary cells and batteries,10,0-10%,0.0,0.0,LATAM
LSO,Aircraft and spacecraft,50,>40%,0.0,0.0,OTHER
KHM,Aircraft and spacecraft,49,>40%,0.0,0.0,ASIA
LAO,Aircraft and spacecraft,48,>40%,0.0,0.0,ASIA
MDG,Aircraft and spacecraft,47,>40%,0.0,0.0,OTHER
VNM,Aircraft and spacecraft,46,>40%,0.0,0.0,ASIA
MMR,Aircraft and spacecraft,45,>40%,0.0,0.0,ASIA
LKA,Aircraft and spacecraft,44,>40%,0.0,0.0,ASIA
FLK,Aircraft and spacecraft,42,>40%,0.0,0.0,OTHER
SYR,Aircraft and spacecraft,41,>40%,0.0,0.0,OTHER
MUS,Aircraft and spacecraft,40,31-40%,0.0,0.0,OTHER
IRQ,Aircraft and spacecraft,39,31-40%,0.0,0.0,OTHER
BWA,Aircraft and spacecraft,38,31-40%,0.0,0.0,OTHER
GUY,Aircraft and spacecraft,38,31-40%,0.0,0.0,OTHER
SRB,Aircraft and spacecraft,38,31-40%,0.0,0.0,OTHER
BGD,Aircraft and spacecraft,37,31-40%,0.0,0.0,ASIA
THA,Aircraft and spacecraft,37,31-40%,0.0,0.0,ASIA
BIH,Aircraft and spacecraft,36,31-40%,0.0,0.0,OTHER
CHN,Aircraft and spacecraft,34,31-40%,0.0148612837263738,1016.2221069335938,ASIA
MKD,Aircraft and spacecraft,33,31-40%,0.0,0.0,OTHER
TWN,Aircraft and spacecraft,32,31-40%,0.0005321720610525,0.0,ASIA
CHE,Aircraft and spacecraft,32,31-40%,0.0004525071586873,0.0,OTHER
AGO,Aircraft and spacecraft,32,31-40%,0.0,0.0,OTHER
FJI,Aircraft and spacecraft,32,31-40%,0.0,0.0,OTHER
IDN,Aircraft and spacecraft,32,31-40%,0.0,0.0,ASIA
LBY,Aircraft and spacecraft,31,31-40%,0.0,0.0,OTHER
MDA,Aircraft and spacecraft,31,31-40%,0.0,0.0,OTHER
ZAF,Aircraft and spacecraft,31,31-40%,0.0,0.0,OTHER
DZA,Aircraft and spacecraft,30,21-30%,0.0,0.0,OTHER
NRU,Aircraft and spacecraft,30,21-30%,0.0,0.0,OTHER
PAK,Aircraft and spacecraft,30,21-30%,0.0,0.0,OTHER
TUN,Aircraft and spacecraft,28,21-30%,0.0,0.0,OTHER
IND,Aircraft and spacecraft,27,21-30%,0.0011169490583162,0.0,OTHER
KAZ,Aircraft and spacecraft,27,21-30%,0.0,0.0,OTHER
KOR,Aircraft and spacecraft,26,21-30%,0.0116545877285686,1204.255126953125,ASIA
JPN,Aircraft and spacecraft,24,21-30%,0.05192095216401211,5863.98193359375,ASIA
MYS,Aircraft and spacecraft,24,21-30%,0.0010012032634216,0.0,ASIA
BRN,Aircraft and spacecraft,24,21-30%,0.0,0.0,ASIA
VUT,Aircraft and spacecraft,23,21-30%,0.0,0.0,OTHER
CIV,Aircraft and spacecraft,21,21-30%,0.0,0.0,OTHER
NAM,Aircraft and spacecraft,21,21-30%,0.0,0.0,OTHER
FRA,Aircraft and spacecraft,20,11-20%,0.1883891346223081,15979.3466796875,EU
DEU,Aircraft and spacecraft,20,11-20%,0.0845137930164251,5357.53662109375,EU
ITA,Aircraft and spacecraft,20,11-20%,0.0242886607911015,2236.1103515625,EU
POL,Aircraft and spacecraft,20,11-20%,0.0136852167737749,1220.4849853515625,EU
ESP,Aircraft and spacecraft,20,11-20%,0.0061689948251635,0.0,EU
NLD,Aircraft and spacecraft,20,11-20%,0.0030810212114019,0.0,EU
BEL,Aircraft and spacecraft,20,11-20%,0.0028852530685556,0.0,EU
AUT,Aircraft and spacecraft,20,11-20%,0.0011120053647391,0.0,EU
PRT,Aircraft and spacecraft,20,11-20%,0.0005017061896898,0.0,EU
ROU,Aircraft and spacecraft,20,11-20%,0.0003101832171895,0.0,EU
CZE,Aircraft and spacecraft,20,11-20%,0.0001769473644464,0.0,EU
MLT,Aircraft and spacecraft,20,11-20%,6.742696096128948e-05,0.0,EU
BGR,Aircraft and spacecraft,20,11-20%,0.0,0.0,EU
CYP,Aircraft and spacecraft,20,11-20%,0.0,0.0,EU
DNK,Aircraft and spacecraft,20,11-20%,0.0,0.0,EU
EST,Aircraft and spacecraft,20,11-20%,0.0,0.0,EU
FIN,Aircraft and spacecraft,20,11-20%,0.0,0.0,EU
GRC,Aircraft and spacecraft,20,11-20%,0.0,0.0,EU
HRV,Aircraft and spacecraft,20,11-20%,0.0,0.0,EU
HUN,Aircraft and spacecraft,20,11-20%,0.0,0.0,EU
IRL,Aircraft and spacecraft,20,11-20%,0.0,0.0,EU
JOR,Aircraft and spacecraft,20,11-20%,0.0,0.0,OTHER
LTU,Aircraft and spacecraft,20,11-20%,0.0,0.0,EU
LUX,Aircraft and spacecraft,20,11-20%,0.0,0.0,EU
LVA,Aircraft and spacecraft,20,11-20%,0.0,0.0,EU
SVK,Aircraft and spacecraft,20,11-20%,0.0,0.0,EU
SVN,Aircraft and spacecraft,20,11-20%,0.0,0.0,EU
SWE,Aircraft and spacecraft,20,11-20%,0.0,0.0,EU
NIC,Aircraft and spacecraft,19,11-20%,0.0,0.0,LATAM
MWI,Aircraft and spacecraft,18,11-20%,0.0,0.0,OTHER
PHL,Aircraft and spacecraft,18,11-20%,0.0,0.0,ASIA
ZWE,Aircraft and spacecraft,18,11-20%,0.0,0.0,OTHER
ISR,Aircraft and spacecraft,17,11-20%,0.0069768784273428995,786.6036376953125,OTHER
ZMB,Aircraft and spacecraft,17,11-20%,0.0,0.0,OTHER
MOZ,Aircraft and spacecraft,16,11-20%,0.0,0.0,OTHER
NOR,Aircraft and spacecraft,16,11-20%,0.0,0.0,OTHER
VEN,Aircraft and spacecraft,15,11-20%,0.0,0.0,LATAM
NGA,Aircraft and spacecraft,14,11-20%,0.0,0.0,OTHER
GNQ,Aircraft and spacecraft,13,11-20%,0.0,0.0,OTHER
TCD,Aircraft and spacecraft,13,11-20%,0.0,0.0,OTHER
CMR,Aircraft and spacecraft,12,11-20%,0.0,0.0,OTHER
COD,Aircraft and spacecraft,11,11-20%,0.0,0.0,OTHER
GBR,Aircraft and spacecraft,10,0-10%,0.0739002725265838,5467.74609375,OTHER
BRA,Aircraft and spacecraft,10,0-10%,0.0236679793110356,2752.865234375,LATAM
SGP,Aircraft and spacecraft,10,0-10%,0.0182209157544091,1795.2158203125,ASIA
TUR,Aircraft and spacecraft,10,0-10%,0.0072058702650922,768.8717651367188,OTHER
AUS,Aircraft and spacecraft,10,0-10%,0.0,0.0,OTHER
CHL,Aircraft and spacecraft,10,0-10%,0.0,0.0,LATAM
COL,Aircraft and spacecraft,10,0-10%,0.0,0.0,LATAM
LSO,Basic iron and steel,50,>40%,0.0,0.0,OTHER
KHM,Basic iron and steel,49,>40%,0.0,0.0,ASIA
LAO,Basic iron and steel,48,>40%,0.0,0.0,ASIA
MDG,Basic iron and steel,47,>40%,0.0,0.0,OTHER
VNM,Basic iron and steel,46,>40%,0.001651046568651,0.0,ASIA
MMR,Basic iron and steel,45,>40%,0.0001084239349835,0.0,ASIA
LKA,Basic iron and steel,44,>40%,0.0,0.0,ASIA
FLK,Basic iron and steel,42,>40%,0.0,0.0,OTHER
SYR,Basic iron and steel,41,>40%,0.0,0.0,OTHER
MUS,Basic iron and steel,40,31-40%,0.0,0.0,OTHER
IRQ,Basic iron and steel,39,31-40%,0.0,0.0,OTHER
BWA,Basic iron and steel,38,31-40%,0.0,0.0,OTHER
GUY,Basic iron and steel,38,31-40%,0.0,0.0,OTHER
SRB,Basic iron and steel,38,31-40%,0.0,0.0,OTHER
THA,Basic iron and steel,37,31-40%,0.0005819526302832,0.0,ASIA
BGD,Basic iron and steel,37,31-40%,0.0,0.0,ASIA
BIH,Basic iron and steel,36,31-40%,0.0,0.0,OTHER
CHN,Basic iron and steel,34,31-40%,0.0388435009386525,1642.4447021484375,ASIA
MKD,Basic iron and steel,33,31-40%,0.0,0.0,OTHER
TWN,Basic iron and steel,32,31-40%,0.0129105642035711,1084.323974609375,ASIA
IDN,Basic iron and steel,32,31-40%,0.0042851523187655,0.0,ASIA
CHE,Basic iron and steel,32,31-40%,0.000246898480237,0.0,OTHER
AGO,Basic iron and steel,32,31-40%,0.0,0.0,OTHER
FJI,Basic iron and steel,32,31-40%,0.0,0.0,OTHER
ZAF,Basic iron and steel,31,31-40%,0.0018613076889165,0.0,OTHER
MDA,Basic iron and steel,31,31-40%,4.458468585313846e-05,0.0,OTHER
LBY,Basic iron and steel,31,31-40%,0.0,0.0,OTHER
DZA,Basic iron and steel,30,21-30%,0.0,0.0,OTHER
NRU,Basic iron and steel,30,21-30%,0.0,0.0,OTHER
PAK,Basic iron and steel,30,21-30%,0.0,0.0,OTHER
TUN,Basic iron and steel,28,21-30%,0.0,0.0,OTHER
IND,Basic iron and steel,27,21-30%,0.0095622602591208,801.1701049804688,OTHER
KAZ,Basic iron and steel,27,21-30%,0.0041445606482934,0.0,OTHER
KOR,Basic iron and steel,26,21-30%,0.0392356403193798,2813.720703125,ASIA
JPN,Basic iron and steel,24,21-30%,0.035688012657559,1776.0838623046875,ASIA
MYS,Basic iron and steel,24,21-30%,0.0014866610537766,0.0,ASIA
BRN,Basic iron and steel,24,21-30%,0.0,0.0,ASIA
VUT,Basic iron and steel,23,21-30%,0.0,0.0,OTHER
CIV,Basic iron and steel,21,21-30%,0.0,0.0,OTHER
NAM,Basic iron and steel,21,21-30%,0.0,0.0,OTHER
DEU,Basic iron and steel,20,11-20%,0.0170268060476405,1546.5452880859375,EU
ITA,Basic iron and steel,20,11-20%,0.0102474007384331,961.330078125,EU
FRA,Basic iron and steel,20,11-20%,0.0021057726764611,0.0,EU
SWE,Basic iron and steel,20,11-20%,0.0019422995275059,0.0,EU
AUT,Basic iron and steel,20,11-20%,0.0015965823616842,0.0,EU
BEL,Basic iron and steel,20,11-20%,0.0015353720998113,0.0,EU
FIN,Basic iron and steel,20,11-20%,0.0012556798522967,0.0,EU
ESP,Basic iron and steel,20,11-20%,0.0011482915028179,0.0,EU
NLD,Basic iron and steel,20,11-20%,0.0010444822511469,0.0,EU
CZE,Basic iron and steel,20,11-20%,0.0007875186001131,0.0,EU
POL,Basic iron and steel,20,11-20%,0.0007066864895575,0.0,EU
LUX,Basic iron and steel,20,11-20%,0.0004388185584901,0.0,EU
SVK,Basic iron and steel,20,11-20%,0.0002591140016934,0.0,EU
ROU,Basic iron and steel,20,11-20%,0.0001309558901083,0.0,EU
SVN,Basic iron and steel,20,11-20%,6.379377609396376e-05,0.0,EU
BGR,Basic iron and steel,20,11-20%,0.0,0.0,EU
CYP,Basic iron and steel,20,11-20%,0.0,0.0,EU
DNK,Basic iron and steel,20,11-20%,0.0,0.0,EU
EST,Basic iron and steel,20,11-20%,0.0,0.0,EU
GRC,Basic iron and steel,20,11-20%,0.0,0.0,EU
HRV,Basic iron and steel,20,11-20%,0.0,0.0,EU
HUN,Basic iron and steel,20,11-20%,0.0,0.0,EU
IRL,Basic iron and steel,20,11-20%,0.0,0.0,EU
JOR,Basic iron and steel,20,11-20%,0.0,0.0,OTHER
LTU,Basic iron and steel,20,11-20%,0.0,0.0,EU
LVA,Basic iron and steel,20,11-20%,0.0,0.0,EU
MLT,Basic iron and steel,20,11-20%,0.0,0.0,EU
PRT,Basic iron and steel,20,11-20%,0.0,0.0,EU
NIC,Basic iron and steel,19,11-20%,0.0,0.0,LATAM
MWI,Basic iron and steel,18,11-20%,0.0,0.0,OTHER
PHL,Basic iron and steel,18,11-20%,0.0,0.0,ASIA
ZWE,Basic iron and steel,18,11-20%,0.0,0.0,OTHER
ISR,Basic iron and steel,17,11-20%,0.0,0.0,OTHER
ZMB,Basic iron and steel,17,11-20%,0.0,0.0,OTHER
MOZ,Basic iron and steel,16,11-20%,0.0,0.0,OTHER
NOR,Basic iron and steel,16,11-20%,0.0,0.0,OTHER
VEN,Basic iron and steel,15,11-20%,0.0,0.0,LATAM
NGA,Basic iron and steel,14,11-20%,0.0,0.0,OTHER
GNQ,Basic iron and steel,13,11-20%,0.0,0.0,OTHER
