industry,dependent_country,supplier_country,dependency_value,direct_dependency,indirect_dependency,trade_value,optimal_length,tariff,tariff_group,region
Accumulators primary cells and batteries,USA,LSO,0.0,0.0,0.0,0.0,2,50,>40%,OTHER
Accumulators primary cells and batteries,USA,KHM,0.0,0.0,0.0,0.0,2,49,>40%,ASIA
Accumulators primary cells and batteries,USA,LAO,0.0,0.0,0.0,0.0,2,48,>40%,ASIA
Accumulators primary cells and batteries,USA,MDG,0.0,0.0,0.0,0.0,2,47,>40%,OTHER
Accumulators primary cells and batteries,USA,VNM,0.0579684941393264,0.0233241487294435,0.0346443454098829,323.5491638183594,3,46,>40%,ASIA
Accumulators primary cells and batteries,USA,MMR,0.0,0.0,0.0,0.0,2,45,>40%,ASIA
Accumulators primary cells and batteries,USA,LKA,0.0,0.0,0.0,0.0,2,44,>40%,ASIA
Accumulators primary cells and batteries,USA,FLK,0.0,0.0,0.0,0.0,2,42,>40%,OTHER
Accumulators primary cells and batteries,USA,SYR,0.0,0.0,0.0,0.0,2,41,>40%,OTHER
Accumulators primary cells and batteries,USA,MUS,0.0,0.0,0.0,0.0,2,40,31-40%,OTHER
Accumulators primary cells and batteries,USA,IRQ,0.0,0.0,0.0,0.0,2,39,31-40%,OTHER
Accumulators primary cells and batteries,USA,BWA,0.0,0.0,0.0,0.0,2,38,31-40%,OTHER
Accumulators primary cells and batteries,USA,GUY,0.0,0.0,0.0,0.0,2,38,31-40%,OTHER
Accumulators primary cells and batteries,USA,SRB,0.0,0.0,0.0,0.0,2,38,31-40%,OTHER
Accumulators primary cells and batteries,USA,THA,0.0049073146742483,0.0,0.0049073146742483,0.0,2,37,31-40%,ASIA
Accumulators primary cells and batteries,USA,BGD,0.0,0.0,0.0,0.0,2,37,31-40%,ASIA
Accumulators primary cells and batteries,USA,BIH,0.0,0.0,0.0,0.0,2,36,31-40%,OTHER
Accumulators primary cells and batteries,USA,CHN,0.4278824826383299,0.1935122460126876,0.2343702366256422,2684.37353515625,3,34,31-40%,ASIA
Accumulators primary cells and batteries,USA,MKD,0.0,0.0,0.0,0.0,2,33,31-40%,OTHER
Accumulators primary cells and batteries,USA,TWN,0.0237113438464865,0.0156482495367527,0.0080630943097338,217.0702209472656,2,32,31-40%,ASIA
Accumulators primary cells and batteries,USA,IDN,0.0227655787769529,0.0052514458075165,0.0175141329694363,72.8472900390625,3,32,31-40%,ASIA
Accumulators primary cells and batteries,USA,AGO,0.0,0.0,0.0,0.0,2,32,31-40%,OTHER
Accumulators primary cells and batteries,USA,CHE,0.0,0.0,0.0,0.0,2,32,31-40%,OTHER
Accumulators primary cells and batteries,USA,FJI,0.0,0.0,0.0,0.0,2,32,31-40%,OTHER
Accumulators primary cells and batteries,USA,LBY,0.0,0.0,0.0,0.0,2,31,31-40%,OTHER
Accumulators primary cells and batteries,USA,MDA,0.0,0.0,0.0,0.0,2,31,31-40%,OTHER
Accumulators primary cells and batteries,USA,ZAF,0.0,0.0,0.0,0.0,2,31,31-40%,OTHER
Accumulators primary cells and batteries,USA,DZA,0.0,0.0,0.0,0.0,2,30,21-30%,OTHER
Accumulators primary cells and batteries,USA,NRU,0.0,0.0,0.0,0.0,2,30,21-30%,OTHER
Accumulators primary cells and batteries,USA,PAK,0.0,0.0,0.0,0.0,2,30,21-30%,OTHER
Accumulators primary cells and batteries,USA,TUN,0.0,0.0,0.0,0.0,2,28,21-30%,OTHER
Accumulators primary cells and batteries,USA,IND,0.0008277982989801,0.0,0.0008277982989801,0.0,2,27,21-30%,OTHER
Accumulators primary cells and batteries,USA,KAZ,0.0,0.0,0.0,0.0,2,27,21-30%,OTHER
Accumulators primary cells and batteries,USA,KOR,0.2264209421674365,0.0910382643342018,0.1353826778332347,1262.8695068359375,3,26,21-30%,ASIA
Accumulators primary cells and batteries,USA,JPN,0.2292857026984376,0.1270905435085296,0.102195159189908,1762.9813232421875,3,24,21-30%,ASIA
Accumulators primary cells and batteries,USA,MYS,0.0768738610923895,0.0088061532005667,0.0680677078918228,122.1576690673828,3,24,21-30%,ASIA
Accumulators primary cells and batteries,USA,BRN,0.0,0.0,0.0,0.0,2,24,21-30%,ASIA
Accumulators primary cells and batteries,USA,VUT,0.0,0.0,0.0,0.0,2,23,21-30%,OTHER
Accumulators primary cells and batteries,USA,CIV,0.0,0.0,0.0,0.0,2,21,21-30%,OTHER
Accumulators primary cells and batteries,USA,NAM,0.0,0.0,0.0,0.0,2,21,21-30%,OTHER
Accumulators primary cells and batteries,USA,DEU,0.0851239698819348,0.0269262045621871,0.0581977653197476,373.516357421875,3,20,11-20%,EU
