Región,Sector,Exposición
Otros,Office accounting and computing machinery,0.16769690543390217
Otros,TV and radio receivers and associated goods,0.15442570008046444
Otros,Optical instruments & photographic equipment,0.14914382280548066
África,TV and radio receivers and associated goods,0.18952756632767587
África,Electronic valves tubes etc.,0.1404198076991885
África,Office accounting and computing machinery,0.1392601753148898
Asia,TV and radio receivers and associated goods,0.1493893122963742
Asia,Office accounting and computing machinery,0.1364952504350793
Asia,Accumulators primary cells and batteries,0.13609918587874287
Oceanía,Office accounting and computing machinery,0.1803258663134088
Oceanía,Electronic valves tubes etc.,0.16685193798362855
Oceanía,TV and radio receivers and associated goods,0.1633461262275709
Oriente Medio,Office accounting and computing machinery,0.16811208970126112
Oriente Medio,TV and radio receivers and associated goods,0.14082976482667922
Oriente Medio,Electronic valves tubes etc.,0.09165187642803009
Unión Europea,Office accounting and computing machinery,0.11064156552062179
Unión Europea,TV and radio receivers and associated goods,0.08732442028858259
Unión Europea,Accumulators primary cells and batteries,0.07471375580301139
Latinoamérica,Office accounting and computing machinery,0.1601940997252541
Latinoamérica,Optical instruments & photographic equipment,0.1459071318808145
Latinoamérica,TV and radio receivers and associated goods,0.13314766522611765
Norteamérica,Office accounting and computing machinery,0.1450220844831078
Norteamérica,TV and radio receivers and associated goods,0.1317695233528872
Norteamérica,Optical instruments & photographic equipment,0.07282003109650752
