industry;dependent_country;supplier_country;dependency_value;direct_dependency;indirect_dependency;trade_value;longitud_optima;industry_id;sectores;short_industry;direct_pct;indirect_pct
Games and toys;USA;CHN;0.9846492795187308;0.8481419086456299;0.136507370873101;30130.357421875;3;152;manufacturas;Games and toys;86.13644739172287;13.863552608277132
Other manufacturing n.e.c.;USA;CHN;0.9146886112573293;0.7417726516723633;0.1729159595849658;15196.4208984375;3;153;manufacturas;Other manufacturing n.e.c.;81.09564747425073;18.904352525749264
Sports goods;USA;CHN;0.8987458571698376;0.6122778058052063;0.2864680513646312;7079.83544921875;3;151;manufacturas;Sports goods;68.12580007136579;31.8741999286342
Made-up textile articles except apparel;USA;CHN;0.887977000518194;0.5893862843513489;0.2985907161668451;13853.025390625;3;55;manufacturas;Made-up textile articles excep...;66.37404842776363;33.62595157223638
Lighting equipment and electric lamps;USA;CHN;0.8639964517163681;0.5109697580337524;0.3530266936826156;6927.46044921875;3;129;manufacturas;Lighting equipment and electri...;59.1402611687453;40.859738831254695
"TV/radio transmitters; line comm. apparatus";USA;CHN;0.8567688031523442;0.5168330073356628;0.3399357958166812;66043.6328125;3;132;manufacturas;"TV/radio transmitters; line co...";60.32350914669842;39.67649085330158
Other transport equipment n.e.c.;USA;CHN;0.8513897246755612;0.637493371963501;0.2138963527120602;643.9454956054688;3;147;manufacturas;Other transport equipment n.e....;74.87679889564446;25.12320110435554
Accumulators primary cells and batteries;USA;CHN;0.842927458791354;0.4708552360534668;0.3720722227378871;11320.04296875;3;128;manufacturas;Accumulators primary cells and...;55.8595204299799;44.140479570020084
Domestic appliances n.e.c.;USA;CHN;0.8395245619508492;0.4969355762004852;0.342588985750364;20225.0;3;123;manufacturas;Domestic appliances n.e.c.;59.192499984244506;40.80750001575549
Bicycles and invalid carriages;USA;CHN;0.8288616594803673;0.3882149457931518;0.4406467136872153;1583.19921875;3;146;manufacturas;Bicycles and invalid carriages;46.8371218951704;53.16287810482958
"Other wood products; articles of cork/straw";USA;CHN;0.8260867571214991;0.4902602136135101;0.3358265435079891;2511.491455078125;3;69;manufacturas;"Other wood products; articles ...";59.34730334157913;40.65269665842088
Office accounting and computing machinery;USA;CHN;0.8029545040242281;0.4030705094337463;0.3998839945904818;64483.4453125;3;124;manufacturas;Office accounting and computin...;50.19842437070186;49.80157562929815
TV and radio receivers and associated goods;USA;CHN;0.7971688480679604;0.3763224184513092;0.4208464296166512;20606.9453125;3;133;manufacturas;TV and radio receivers and ass...;47.207366339436646;52.79263366056335
Pottery china and earthenware;USA;CHN;0.7835822522267233;0.543942928314209;0.2396393239125143;3293.0126953125;3;95;manufacturas;Pottery china and earthenware;69.41746405925787;30.58253594074213
Footwear;USA;CHN;0.7783141382474414;0.4021846354007721;0.3761295028466693;14779.5380859375;3;64;manufacturas;Footwear;51.67381853121492;48.32618146878507
Furniture;USA;CHN;0.7615632015654025;0.3175500333309173;0.4440131682344851;20708.146484375;3;148;manufacturas;Furniture;41.69713461446001;58.30286538553998
Knitted and crocheted fabrics and articles;USA;CHN;0.6933847578266606;0.2495270520448684;0.4438577057817922;5333.64990234375;3;59;manufacturas;Knitted and crocheted fabrics ...;35.98680952073188;64.01319047926812
"Luggage handbags etc.; saddlery & harness";USA;CHN;0.6878266650879953;0.2837733328342438;0.4040533322537515;4384.8828125;3;63;manufacturas;"Luggage handbags etc.; saddler...";41.25651813715887;58.74348186284113
Wearing apparel except fur apparel;USA;CHN;0.6809571781087247;0.2384387701749801;0.4425184079337445;20142.84765625;3;60;manufacturas;Wearing apparel except fur app...;35.01523705752169;64.9847629424783
Cutlery hand tools and general hardware;USA;CHN;0.6740295861411256;0.3659526407718658;0.3080769453692598;8958.34375;3;107;manufacturas;Cutlery hand tools and general...;54.29326075535861;45.70673924464138
Musical instruments;USA;CHN;0.66915578822648;0.3954294621944427;0.2737263260320373;756.0572509765625;3;150;manufacturas;Musical instruments;59.09378191922732;40.906218080772675
Electric motors generators and transformers;USA;CHN;0.6616226493173074;0.2191455215215683;0.4424771277957391;8730.466796875;3;125;manufacturas;Electric motors generators and...;33.122433421481674;66.87756657851833
Other fabricated metal products n.e.c.;USA;CHN;0.6566814866035111;0.3835014700889587;0.2731800165145523;14925.0341796875;3;108;manufacturas;Other fabricated metal product...;58.39992110520817;41.60007889479181
Cordage rope twine and netting;USA;CHN;0.6335645901148337;0.3343278467655182;0.2992367433493155;232.7420959472656;3;57;manufacturas;Cordage rope twine and netting;52.76933906690101;47.23066093309899
Plastic products;USA;CHN;0.6289750061866752;0.416540265083313;0.2124347411033622;25209.423828125;3;93;manufacturas;Plastic products;66.22524917304693;33.77475082695307
Publishing of books and other publications;USA;CHN;0.6229239226140413;0.4946663975715637;0.1282575250424775;1493.4658203125;3;73;manufacturas;Publishing of books and other ...;79.41040303858344;20.58959696141656
Glass and glass products;USA;CHN;0.6026317848159437;0.3610222637653351;0.2416095210506086;3613.197265625;3;94;manufacturas;Glass and glass products;59.90760408955177;40.09239591044823
"Textile fibre preparation; textile weaving";USA;CHN;0.6002930407478411;0.1594141870737075;0.4408788536741335;582.8380737304688;3;54;manufacturas;"Textile fibre preparation; tex...";26.55606116557846;73.44393883442153
Printing;USA;CHN;0.5836774581410477;0.3487672805786133;0.2349101775624343;749.1784057617188;3;77;manufacturas;Printing;59.753426436820256;40.24657356317973
Insulated wire and cable;USA;CHN;0.5829719840958884;0.23335000872612;0.3496219753697683;3822.26904296875;3;127;manufacturas;Insulated wire and cable;40.027654002621524;59.97234599737846
