Sector,Country,Frequency,Strength,Centrality Score
Accumulators primary cells and batteries,CHN,8294,93.0286331098162,1.0
Accumulators primary cells and batteries,DEU,3559,17.295318026177164,0.2831905040649883
Accumulators primary cells and batteries,KOR,2528,24.766303238059503,0.2816528821968636
Accumulators primary cells and batteries,USA,2908,20.78249072331328,0.2742852778335466
Accumulators primary cells and batteries,JPN,1867,10.473124655410889,0.1575887428561626
Aircraft and spacecraft,USA,3888,30.819121047982115,1.0
Aircraft and spacecraft,FRA,2397,19.47962672738604,0.6258427503505086
Aircraft and spacecraft,GBR,2126,19.221457699862505,0.5929359454426624
Aircraft and spacecraft,DEU,2123,16.10962204095688,0.5320447387525296
Aircraft and spacecraft,CAN,1676,17.06048638844976,0.5045689234813153
Basic iron and steel,CHN,6273,53.926763290128136,1.0
Basic iron and steel,RUS,1771,9.617242595650046,0.2199317962233749
Basic iron and steel,KOR,1782,9.15725410764814,0.2155152906922874
Basic iron and steel,ZAF,1552,9.43539210043117,0.203943880853064
Basic iron and steel,TUR,1994,6.861897977815122,0.203494950180191
Basic precious and non-ferrous metals,CHN,7260,45.01231513074697,1.0
Basic precious and non-ferrous metals,ARE,2654,15.657984245204156,0.3549418993666629
Basic precious and non-ferrous metals,CHE,2718,10.795006593518282,0.2936461079417507
Basic precious and non-ferrous metals,DEU,2725,10.279234235743688,0.2871566996036491
Basic precious and non-ferrous metals,USA,1976,10.704573628459228,0.2515591222676352
